phase_start,phase_end,n_frames,n_balls_category,mean_conf,mean_n_balls,min_conf,max_conf,std_n_balls,spectral_concentration
0,7,8,MULTI_BALL,0.4716,3.75,0.2695,0.5655,0.707,0.4337
87,91,5,ONE_BALL,0.5302,1.00,0.2821,0.8325,0.000,0.0000
95,100,6,ONE_BALL,0.4913,1.00,0.3359,0.6777,0.000,0.0000
162,167,6,ONE_BALL,0.4755,1.00,0.3182,0.6532,0.000,0.0000
170,175,6,ONE_BALL,0.7308,1.00,0.6731,0.7822,0.000,0.0000
189,193,5,TWO_BALL,0.5011,2.00,0.4046,0.5829,0.000,0.0000
206,211,6,ONE_BALL,0.6178,1.00,0.3484,0.7911,0.000,0.0000
224,230,7,ONE_BALL,0.3331,1.00,0.1701,0.5578,0.000,0.0000
233,237,5,ONE_BALL,0.4330,1.00,0.2744,0.7384,0.000,0.0000
242,248,7,ONE_BALL,0.6656,1.00,0.4730,0.8567,0.000,0.0000
268,272,5,ONE_BALL,0.5312,1.00,0.1877,0.6943,0.000,0.0000
277,284,8,ONE_BALL,0.6105,1.00,0.4147,0.7521,0.000,0.0000
291,297,7,ONE_BALL,0.3630,1.00,0.2161,0.5817,0.000,0.0000
302,306,5,ONE_BALL,0.3864,1.00,0.1852,0.5584,0.000,0.0000
