phase_start,phase_end,n_frames,n_balls_category,mean_conf,mean_n_balls,std_n_balls,spectral_concentration,conf_pass,spec_pass,guard_pass
0,29,30,MULTI_BALL,0.4545,2.46,1.174,0.2904,False,True,False
15,44,30,MULTI_BALL,0.4154,1.74,0.810,0.2098,False,True,False
30,59,30,MULTI_BALL,0.3831,1.65,0.832,0.1591,False,True,False
45,74,30,MULTI_BALL,0.3977,1.55,0.739,0.2994,False,True,False
60,89,30,MULTI_BALL,0.3978,1.55,0.671,0.2648,False,True,False
75,104,30,MULTI_BALL,0.4593,1.59,0.694,0.2189,False,True,False
90,119,30,MULTI_BALL,0.4932,1.56,0.698,0.1312,False,True,False
105,134,30,MULTI_BALL,0.4537,1.65,0.797,0.1357,False,True,False
120,149,30,MULTI_BALL,0.4373,1.80,0.866,0.2185,False,True,False
135,164,30,MULTI_BALL,0.3547,1.68,0.748,0.2295,False,True,False
150,179,30,MULTI_BALL,0.4833,1.43,0.573,0.1460,False,True,False
165,194,30,MULTI_BALL,0.5378,1.62,0.697,0.1586,True,True,True
180,209,30,MULTI_BALL,0.4612,1.81,0.681,0.1800,False,True,False
195,224,30,MULTI_BALL,0.4837,1.63,0.688,0.1561,False,True,False
210,239,30,MULTI_BALL,0.4224,1.37,0.565,0.1425,False,True,False
225,254,30,TWO_BALL,0.4890,1.27,0.452,0.2220,False,True,False
240,269,30,TWO_BALL,0.4824,1.46,0.508,0.1616,False,True,False
255,284,30,TWO_BALL,0.4593,1.37,0.490,0.1325,False,True,False
270,299,30,TWO_BALL,0.4691,1.07,0.267,0.1229,False,False,False
282,311,30,MULTI_BALL,0.4532,1.26,0.526,0.1686,False,True,False
282,311,30,MULTI_BALL,0.4532,1.26,0.526,0.1686,False,True,False
