conf_min,spec>=0.05,spec>=0.08,spec>=0.10,spec>=0.13,spec>=0.15,spec>=0.20,spec>=0.25,spec>=0.30,spec>=0.40
conf>=0.20,TP=5 FP=1 FN=0 TN=0,TP=4 FP=1 FN=1 TN=0,TP=2 FP=1 FN=3 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.30,TP=5 FP=1 FN=0 TN=0,TP=4 FP=1 FN=1 TN=0,TP=2 FP=1 FN=3 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.35,TP=5 FP=1 FN=0 TN=0,TP=4 FP=1 FN=1 TN=0,TP=2 FP=1 FN=3 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.40,TP=5 FP=1 FN=0 TN=0,TP=4 FP=1 FN=1 TN=0,TP=2 FP=1 FN=3 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.42,TP=5 FP=1 FN=0 TN=0,TP=4 FP=1 FN=1 TN=0,TP=2 FP=1 FN=3 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.44,TP=4 FP=1 FN=1 TN=0,TP=3 FP=1 FN=2 TN=0,TP=2 FP=1 FN=3 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=1 FN=5 TN=0,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.46,TP=1 FP=0 FN=4 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.48,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.50,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
conf>=0.55,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1,TP=0 FP=0 FN=5 TN=1
