stem,source,candidate,gap_frames,label,src_end_frame,cand_start_frame,midgap_frame,phase_key,phase_start,phase_end,phase_verdict,phase_anchor,in_h7v3plus3,edge_type
identical_balls_trick_000_018,1,6,4,correct,22,27,24,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,2,6,4,wrong,22,27,24,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,3,8,6,correct,36,43,39,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,3,7,2,wrong,36,39,37,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,4,7,0,correct,38,39,38,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,4,8,4,wrong,38,43,40,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,5,6,0,correct,26,27,26,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,6,15,10,wrong,127,138,132,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,7,10,2,correct,61,64,62,,,,,UNANCHORED,True,H26_RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,9,12,0,correct,103,104,103,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,9,13,0,wrong,103,104,103,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,10,11,2,correct,84,87,85,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,11,13,1,correct,102,104,103,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,11,12,1,wrong,102,104,103,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,12,17,10,correct,154,165,159,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,12,16,2,wrong,154,157,155,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,14,19,8,correct,165,174,169,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,14,18,0,wrong,165,166,165,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,15,17,10,wrong,154,165,159,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,15,16,2,correct,154,157,155,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,16,19,2,wrong,171,174,172,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,17,22,7,correct,212,220,216,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,18,21,0,wrong,211,212,211,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,18,22,8,wrong,211,220,215,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,19,20,1,correct,200,202,201,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,20,22,6,wrong,213,220,216,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,21,22,2,correct,217,220,218,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,22,27,5,wrong,257,263,260,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,23,25,2,correct,240,243,241,,,,,UNANCHORED,True,V_RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,25,27,6,correct,256,263,259,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,25,26,0,wrong,256,257,256,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,28,29,3,correct,387,391,389,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,29,34,5,correct,465,471,468,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,30,33,5,correct,455,461,458,,,,,UNANCHORED,True,V_RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,31,36,5,correct,527,533,530,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,31,38,5,wrong,527,533,530,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,31,37,5,wrong,527,533,530,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,35,37,5,correct,527,533,530,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,35,38,5,wrong,527,533,530,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,35,36,5,wrong,527,533,530,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,36,41,9,wrong,581,591,586,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,37,40,10,correct,538,549,543,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,37,39,6,wrong,538,545,541,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,38,39,6,correct,538,545,541,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,38,40,10,wrong,538,549,543,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,39,47,3,correct,681,685,683,,,,,UNANCHORED,True,V_RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,39,48,9,wrong,681,691,686,identical_balls_trick_000_018_685_716,685,716,STATIC_HOLD,ANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,40,41,3,correct,587,591,589,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,40,42,5,wrong,587,593,590,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,41,43,7,correct,613,621,617,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,41,44,9,wrong,613,623,618,,,,,UNANCHORED,False,NOT_IN_CHAIN
