stem,phase_key,phase_start,phase_end,phase_verdict,n_reviewed_in_phase,n_correct_in_phase,n_wrong_in_phase,n_in_h7v3plus3,n_in_h7v3plus3_correct,n_in_h7v3plus3_wrong,phase_precision,phase_recall
identical_balls_trick_000_018,identical_balls_trick_000_018_263_312,263,312,JUGGLING,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_411_450,411,450,JUGGLING,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_549_578,549,578,JUGGLING,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_631_669,631,669,JUGGLING,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_685_716,685,716,STATIC_HOLD,1,0,1,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_733_766,733,766,JUGGLING,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_890_936,890,936,OTHER_CROSSED_ARM,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_977_1011,977,1011,JUGGLING,0,0,0,0,0,0,0.0,0.0
identical_balls_trick_000_018,identical_balls_trick_000_018_1029_1049,1029,1049,JUGGLING,0,0,0,0,0,0,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,2,71,STATIC_HOLD,1,1,0,1,1,0,1.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,114,255,JUGGLING,1,0,1,0,0,0,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,267,298,JUGGLING,0,0,0,0,0,0,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,308,338,JUGGLING,1,1,0,1,1,0,1.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,339,374,JUGGLING,0,0,0,0,0,0,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,375,410,JUGGLING,1,1,0,1,1,0,1.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,420,481,JUGGLING,2,2,0,1,1,0,1.0,0.5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,482,594,STATIC_HOLD,3,3,0,2,2,0,1.0,0.6666666666666666
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,595,643,JUGGLING,1,1,0,1,1,0,1.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,769,799,JUGGLING,1,1,0,1,1,0,1.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,800,861,JUGGLING,2,2,0,2,2,0,1.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,862,899,JUGGLING,1,1,0,1,1,0,1.0,1.0
