phase_key,stem,verdict,dominant,is_active_pred,is_active_gt,n_frames
identical_balls_trick_000_018_263_312,identical_balls_trick_000_018,JUGGLING,MIXED_3+,True,True,50
identical_balls_trick_000_018_411_450,identical_balls_trick_000_018,JUGGLING,MIXED_3+,True,True,40
identical_balls_trick_000_018_549_578,identical_balls_trick_000_018,JUGGLING,MIXED_3+,True,True,30
identical_balls_trick_000_018_631_669,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,39
identical_balls_trick_000_018_685_716,identical_balls_trick_000_018,STATIC_HOLD,CASCADE_3+,True,False,32
identical_balls_trick_000_018_733_766,identical_balls_trick_000_018,JUGGLING,CASCADE_3+,True,True,34
identical_balls_trick_000_018_890_936,identical_balls_trick_000_018,OTHER_CROSSED_ARM,FOUNTAIN_3+,True,False,47
identical_balls_trick_000_018_977_1011,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,35
identical_balls_trick_000_018_1029_1049,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,21
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,FOUNTAIN_3+,True,True,36
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,FOUNTAIN_3+,True,False,113
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,FOUNTAIN_3+,True,True,62
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,MIXED_3+_UNCONFIRMED,False,False,70
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,142
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,32
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,31
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,36
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,62
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,49
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,31
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,38
