phase_key,stem,verdict,dominant,is_active_pred,is_active_gt,avg_far,avg_ambig,avg_low_slope,guard_pass_rate
identical_balls_trick_000_018_263_312,identical_balls_trick_000_018,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,0.0,1.0
identical_balls_trick_000_018_411_450,identical_balls_trick_000_018,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,0.03,1.0
identical_balls_trick_000_018_549_578,identical_balls_trick_000_018,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,4.0,0.0
identical_balls_trick_000_018_631_669,identical_balls_trick_000_018,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,4.0,0.0
identical_balls_trick_000_018_685_716,identical_balls_trick_000_018,STATIC_HOLD,MIXED_3+_UNCONFIRMED,False,False,2.0,0.0,2.0,0.0
identical_balls_trick_000_018_733_766,identical_balls_trick_000_018,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,2.0,0.0,2.0,0.0
identical_balls_trick_000_018_890_936,identical_balls_trick_000_018,OTHER_CROSSED_ARM,MIXED_3+_UNCONFIRMED,False,False,0.0,3.0,0.0,0.0
identical_balls_trick_000_018_977_1011,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,0.0,0.0,0.0,1.0
identical_balls_trick_000_018_1029_1049,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,0.0,0.0,0.0,1.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,4.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,MIXED_3+_UNCONFIRMED,False,False,0.0,0.0,3.85,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,2.69,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,MIXED_3+_UNCONFIRMED,False,False,0.0,0.0,1.26,0.29
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,1.87,0.13
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,2.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,4.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,4.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,4.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,2.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,2.35,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+_UNCONFIRMED,False,True,0.0,0.0,3.82,0.0
