phase_key,stem,verdict,dominant_h12,is_active_pred,is_active_gt,n_frames,lr_var,lr_unique,lr_mean,lr_mean_diff,h87_pct_ge3,h87_max_aloft,h90_c40_pct_ge3,h90_c40_max_aloft,h74_fires,h87_fires,h90_fires,h78_fires,signals_fired,avg_conf
identical_balls_trick_000_018_263_312,identical_balls_trick_000_018,JUGGLING,MIXED_3+,True,True,50,0.552,3,1.26,1.61,0.04,3,0.05405405405405406,3,False,True,False,False,none,0.728
identical_balls_trick_000_018_411_450,identical_balls_trick_000_018,JUGGLING,MIXED_3+,True,True,40,0.71,3,0.7,3.65,0.275,4,0.05,3,False,False,False,False,none,0.787
identical_balls_trick_000_018_549_578,identical_balls_trick_000_018,JUGGLING,MIXED_3+,True,True,30,0.504,3,0.68,1.61,0.43333333333333335,4,0.0,2,False,False,False,False,none,0.704
identical_balls_trick_000_018_631_669,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,39,0.605,3,1.44,7.76,0.2564102564102564,5,0.20512820512820512,3,False,False,False,False,none,0.714
identical_balls_trick_000_018_685_716,identical_balls_trick_000_018,STATIC_HOLD,CASCADE_3+,False,False,32,0.374,3,1.47,3.2,0.15625,4,0.08333333333333333,3,False,True,False,False,h87_max_aloft,0.738
identical_balls_trick_000_018_733_766,identical_balls_trick_000_018,JUGGLING,CASCADE_3+,True,True,34,0.152,2,1.81,1.24,0.0,1,0.0,1,False,False,False,False,none,0.74
identical_balls_trick_000_018_890_936,identical_balls_trick_000_018,OTHER_CROSSED_ARM,FOUNTAIN_3+,False,False,47,0.573,3,1.22,14.25,0.10869565217391304,4,0.10256410256410256,3,False,True,False,True,h78,0.571
identical_balls_trick_000_018_977_1011,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,35,0.287,3,1.35,4.33,0.02857142857142857,3,0.03333333333333333,3,False,True,False,False,none,0.565
identical_balls_trick_000_018_1029_1049,identical_balls_trick_000_018,JUGGLING,FOUNTAIN_3+,True,True,21,0.355,3,1.47,5.43,0.0,2,0.0,2,False,True,False,False,none,0.463
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,FOUNTAIN_3+,True,True,36,0.212,3,1.81,5.56,0.6111111111111112,4,0.4411764705882353,3,False,False,False,False,none,0.646
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,FOUNTAIN_3+,False,False,113,0.134,2,1.84,5.08,0.6637168141592921,4,0.36363636363636365,4,False,False,True,False,h90_NEW,0.615
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,FOUNTAIN_3+,True,True,62,0.199,2,1.73,4.89,0.5806451612903226,4,0.24561403508771928,3,False,False,False,False,none,0.651
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,MIXED_3+_UNCONFIRMED,False,False,70,0.122,2,1.86,4.98,0.7428571428571429,4,0.35714285714285715,3,False,False,False,False,none,0.4
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,142,0.204,3,1.77,4.6,0.7092198581560284,5,0.3722627737226277,3,False,False,False,False,none,0.664
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,32,0.0,1,2.0,4.26,0.65625,5,0.46875,3,True,False,False,False,none,0.679
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,31,0.57,3,1.55,6.18,0.6451612903225806,4,0.32142857142857145,3,False,False,False,False,none,0.642
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,36,0.154,3,1.89,5.4,0.6944444444444444,4,0.34285714285714286,3,False,False,False,False,none,0.647
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,62,0.2,3,1.79,5.07,0.6935483870967742,4,0.39285714285714285,3,False,False,False,False,none,0.579
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,49,0.22,2,1.67,4.08,0.673469387755102,4,0.3333333333333333,3,False,False,False,False,none,0.577
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,31,0.308,3,1.42,4.8,0.6451612903225806,3,0.3793103448275862,3,False,False,False,False,none,0.655
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,MIXED_3+,True,True,38,0.233,2,1.63,4.6,0.7105263157894737,4,0.40540540540540543,3,False,False,False,False,none,0.675
