phase_key,stem,verdict,is_active_pred,is_active_gt,avg_ambig,avg_far,avg_low_slope,lr_var,max_time_span,dominant_h12,signals_fired
identical_balls_trick_000_018_263_312,identical_balls_trick_000_018,JUGGLING,True,True,0.0,0.0,0.0,0.552,28,MIXED_3+,none
identical_balls_trick_000_018_411_450,identical_balls_trick_000_018,JUGGLING,True,True,0.0,0.0,0.03,0.71,207,MIXED_3+,none
identical_balls_trick_000_018_549_578,identical_balls_trick_000_018,JUGGLING,True,True,0.0,0.0,4.0,0.504,15,MIXED_3+,none
identical_balls_trick_000_018_631_669,identical_balls_trick_000_018,JUGGLING,True,True,0.0,0.0,4.0,0.605,49,FOUNTAIN_3+,none
identical_balls_trick_000_018_685_716,identical_balls_trick_000_018,STATIC_HOLD,False,False,0.0,2.0,2.0,0.374,15,CASCADE_3+,R2_far_lrvar
identical_balls_trick_000_018_733_766,identical_balls_trick_000_018,JUGGLING,True,True,0.0,2.0,2.0,0.152,90,CASCADE_3+,none
identical_balls_trick_000_018_890_936,identical_balls_trick_000_018,OTHER_CROSSED_ARM,False,False,3.0,0.0,0.0,0.573,34,FOUNTAIN_3+,R1_ambig
identical_balls_trick_000_018_977_1011,identical_balls_trick_000_018,JUGGLING,True,True,0.0,0.0,0.0,0.287,22,FOUNTAIN_3+,none
identical_balls_trick_000_018_1029_1049,identical_balls_trick_000_018,JUGGLING,True,True,0.0,0.0,0.0,0.355,65,FOUNTAIN_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,4.0,0.212,40,FOUNTAIN_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,False,False,0.0,0.0,3.85,0.134,100,FOUNTAIN_3+,R3_lslope_timespan_fountain
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,2.69,0.199,49,FOUNTAIN_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,True,False,0.0,0.0,1.26,0.122,12,MIXED_3+_UNCONFIRMED,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,1.87,0.204,155,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,2.0,0.0,29,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,4.0,0.57,60,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,4.0,0.154,67,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,4.0,0.2,87,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,2.0,0.22,85,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,2.35,0.308,34,MIXED_3+,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,True,True,0.0,0.0,3.82,0.233,37,MIXED_3+,none
