phase_key,stem,verdict,n_frames,max_A,min_A,mean_A,max_events,min_events,mean_events,max_conf,min_conf,mean_conf,n_unconf,unconf_frac,max_total,min_total,frac_total_ge3,h70_pattern,h70_spec_conc,h70_max_A,h106_h87_pct_ge3,h106_h87_max_aloft,h106_h90_c40_pct_ge3,h106_h78_mean_diff,h106_lr_var,h106_signals_fired
identical_balls_trick_000_018_263_312,identical_balls_trick_000_018,JUGGLING,50,3,3,3.0,4,4,4.0,0.728,0.728,0.728,0,0.0,3,3,1.0,MIXED_3+,0.182,3,0.04,3,0.05405405405405406,1.61,0.552,none
identical_balls_trick_000_018_411_450,identical_balls_trick_000_018,JUGGLING,40,4,3,3.1,4,4,4.0,0.844,0.792,0.797,0,0.0,4,3,1.0,MIXED_3+,0.196,3,0.275,4,0.05,3.65,0.71,none
identical_balls_trick_000_018_549_578,identical_balls_trick_000_018,JUGGLING,30,3,3,3.0,4,4,4.0,0.704,0.704,0.704,0,0.0,3,3,1.0,MIXED_3+,0.332,2,0.43333333333333335,4,0.0,1.61,0.504,none
identical_balls_trick_000_018_631_669,identical_balls_trick_000_018,JUGGLING,39,3,3,3.0,4,4,4.0,0.714,0.714,0.714,0,0.0,3,3,1.0,FOUNTAIN_3+,0.411,3,0.2564102564102564,5,0.20512820512820512,7.76,0.605,none
identical_balls_trick_000_018_685_716,identical_balls_trick_000_018,STATIC_HOLD,32,5,3,3.34,4,4,4.0,0.828,0.714,0.738,0,0.0,5,3,1.0,CASCADE_3+,0.498,2,0.15625,4,0.08333333333333333,3.2,0.374,h87_max_aloft
identical_balls_trick_000_018_733_766,identical_balls_trick_000_018,JUGGLING,34,4,3,3.06,4,4,4.0,0.751,0.67,0.746,0,0.0,4,3,1.0,,,,0.0,1,0.0,1.24,0.152,none
identical_balls_trick_000_018_890_936,identical_balls_trick_000_018,OTHER_CROSSED_ARM,47,3,3,3.0,4,4,4.0,0.471,0.471,0.471,0,0.0,3,3,1.0,FOUNTAIN_3+,0.308,3,0.10869565217391304,4,0.10256410256410256,14.25,0.573,h78
identical_balls_trick_000_018_977_1011,identical_balls_trick_000_018,JUGGLING,35,3,3,3.0,4,4,4.0,0.565,0.565,0.565,0,0.0,3,3,1.0,FOUNTAIN_3+,0.326,2,0.02857142857142857,3,0.03333333333333333,4.33,0.287,none
identical_balls_trick_000_018_1029_1049,identical_balls_trick_000_018,JUGGLING,21,3,3,3.0,4,4,4.0,0.463,0.463,0.463,0,0.0,3,3,1.0,,,,0.0,2,0.0,5.43,0.355,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,36,5,5,5.0,4,4,4.0,0.646,0.646,0.646,0,0.0,5,5,1.0,FOUNTAIN_3+,0.164,3,0.6111111111111112,4,0.4411764705882353,5.56,0.212,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,113,6,4,4.84,4,4,4.0,0.682,0.651,0.653,0,0.0,6,4,1.0,FOUNTAIN_3+,0.14,3,0.6637168141592921,4,0.36363636363636365,5.08,0.134,h90_NEW
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,62,5,4,4.77,4,4,4.0,0.632,0.62,0.629,0,0.0,5,4,1.0,FOUNTAIN_3+,0.088,3,0.5806451612903226,4,0.24561403508771928,4.89,0.199,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,STATIC_HOLD,70,6,4,4.91,2,0,1.26,0.342,0.329,0.333,70,1.0,6,4,1.0,MIXED_3+_UNCONFIRMED,0.075,3,0.7428571428571429,4,0.35714285714285715,4.98,0.122,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,142,5,3,4.74,4,4,4.0,0.715,0.639,0.705,0,0.0,5,3,1.0,MIXED_3+,0.124,3,0.7092198581560284,5,0.3722627737226277,4.6,0.204,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,32,5,5,5.0,4,4,4.0,0.679,0.679,0.679,0,0.0,5,5,1.0,MIXED_3+,0.175,3,0.65625,5,0.46875,4.26,0.0,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,31,5,3,4.03,4,4,4.0,0.679,0.628,0.642,0,0.0,5,3,1.0,MIXED_3+,0.235,3,0.6451612903225806,4,0.32142857142857145,6.18,0.57,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,36,5,4,4.86,4,4,4.0,0.654,0.646,0.647,0,0.0,5,4,1.0,MIXED_3+,0.216,3,0.6944444444444444,4,0.34285714285714286,5.4,0.154,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,62,6,4,4.58,4,4,4.0,0.661,0.63,0.651,0,0.0,6,4,1.0,MIXED_3+,0.165,3,0.6935483870967742,4,0.39285714285714285,5.07,0.2,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,49,5,4,4.8,4,4,4.0,0.651,0.645,0.65,0,0.0,5,4,1.0,MIXED_3+,0.17,3,0.673469387755102,4,0.3333333333333333,4.08,0.22,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,31,5,4,4.68,4,4,4.0,0.636,0.632,0.633,0,0.0,5,4,1.0,MIXED_3+,0.214,3,0.6451612903225806,3,0.3793103448275862,4.8,0.308,none
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,JUGGLING,38,6,4,4.87,4,4,4.0,0.695,0.632,0.666,0,0.0,6,4,1.0,MIXED_3+,0.249,3,0.7105263157894737,4,0.40540540540540543,4.6,0.233,none
