phase_key,verdict,is_active_pred,is_active_gt,dominant_h12,signals_fired,unconf_frac,mean_conf,max_A
identical_balls_trick_000_018_263_312,JUGGLING,True,True,MIXED_3+,none,0.0,0.728,3
identical_balls_trick_000_018_411_450,JUGGLING,True,True,MIXED_3+,none,0.0,0.797,4
identical_balls_trick_000_018_549_578,JUGGLING,True,True,MIXED_3+,none,0.0,0.704,3
identical_balls_trick_000_018_631_669,JUGGLING,True,True,FOUNTAIN_3+,none,0.0,0.714,3
identical_balls_trick_000_018_685_716,STATIC_HOLD,False,False,CASCADE_3+,H87_max_aloft,0.0,0.738,5
identical_balls_trick_000_018_733_766,JUGGLING,True,True,CASCADE_3+,none,0.0,0.746,4
identical_balls_trick_000_018_890_936,OTHER_CROSSED_ARM,False,False,FOUNTAIN_3+,H78,0.0,0.471,3
identical_balls_trick_000_018_977_1011,JUGGLING,True,True,FOUNTAIN_3+,none,0.0,0.565,3
identical_balls_trick_000_018_1029_1049,JUGGLING,True,True,FOUNTAIN_3+,none,0.0,0.463,3
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,JUGGLING,True,True,FOUNTAIN_3+,none,0.0,0.646,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,STATIC_HOLD,False,False,FOUNTAIN_3+,H90_NEW,0.0,0.653,6
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,JUGGLING,True,True,FOUNTAIN_3+,none,0.0,0.629,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,STATIC_HOLD,False,False,MIXED_3+_UNCONFIRMED,H108_R4b,1.0,0.333,6
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,JUGGLING,True,True,MIXED_3+,none,0.0,0.705,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,JUGGLING,True,True,MIXED_3+,none,0.0,0.679,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,JUGGLING,True,True,MIXED_3+,none,0.0,0.642,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,JUGGLING,True,True,MIXED_3+,none,0.0,0.647,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,JUGGLING,True,True,MIXED_3+,none,0.0,0.651,6
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,JUGGLING,True,True,MIXED_3+,none,0.0,0.65,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,JUGGLING,True,True,MIXED_3+,none,0.0,0.633,5
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,JUGGLING,True,True,MIXED_3+,none,0.0,0.666,6
