chain_id,n_tracklets,n_hand_edges,n_v_reclass_edges,n_h26_edges,n_h22_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,quality_v10
0,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
3,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
10,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
21,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
26,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
27,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
31,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
33,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
36,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
40,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
41,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,1.0
13,1,0,0,0,0,0,0,0,0,0,,1.0,0.95,0.5,0.9714
35,1,0,0,0,0,0,0,0,0,0,,1.0,0.9455,0.5,0.9688
38,1,0,0,0,0,0,0,0,0,0,,1.0,0.9412,0.5,0.9664
6,1,0,0,0,0,0,0,0,0,0,,1.0,0.9362,0.5,0.9635
8,1,0,0,0,0,0,0,0,0,0,,1.0,0.9333,0.5,0.9619
16,1,0,0,0,0,0,0,0,0,0,,1.0,0.9271,0.5,0.9583
32,1,0,0,0,0,0,0,0,0,0,,1.0,0.9024,0.5,0.9443
25,1,0,0,0,0,0,0,0,0,0,,1.0,0.8917,0.5,0.9381
11,1,0,0,0,0,0,0,0,0,0,,1.0,0.8889,0.5,0.9365
1,1,0,0,0,0,0,0,0,0,0,,1.0,0.8667,0.5,0.9238
17,1,0,0,0,0,0,0,0,0,0,,1.0,0.8442,0.5,0.9109
20,2,0,0,0,0,1,0,1,0,0,,1.0,0.8383,0.0,0.9076
9,1,0,0,0,0,0,0,0,0,0,,1.0,0.8276,0.5,0.9015
24,1,0,0,0,0,0,0,0,0,0,,1.0,0.8,0.5,0.8857
19,2,1,1,0,0,0,0,0,0,0,,1.0,0.7671,0.25,0.8669
7,2,1,0,0,0,0,1,0,0,0,1.0,1.0,0.589,0.5,0.8356
28,2,0,0,0,0,1,0,1,0,1,,0.5,0.7949,0.5,0.6685
4,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.9208,0.5,0.6683
39,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.9032,0.5,0.6613
23,3,2,1,0,0,0,0,0,0,0,0.0,1.0,0.8627,0.3333,0.6451
5,2,1,0,1,0,0,0,0,0,0,0.0,1.0,0.85,0.5,0.64
18,3,1,0,0,0,1,0,1,0,0,0.0,1.0,0.7554,0.3333,0.6022
2,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.7442,0.5,0.5977
34,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.7,0.5,0.58
29,5,4,1,1,0,0,1,0,0,0,0.3333,1.0,0.4417,0.5,0.5767
22,7,5,0,0,0,1,0,1,0,0,0.0,1.0,0.6459,0.2857,0.5584
12,3,2,1,0,0,0,0,0,0,0,0.0,1.0,0.5111,0.5,0.5044
14,2,0,0,0,0,1,0,1,1,0,,0.0,0.7941,0.0,0.4538
30,5,3,0,0,0,1,1,1,1,0,0.3333,0.0,0.7633,0.5,0.4053
37,3,1,0,0,0,1,0,1,1,0,0.0,0.0,0.8091,0.1667,0.3236
15,3,1,0,0,0,1,0,1,1,0,0.0,0.0,0.79,0.5,0.316
