chain_id,n_tracklets,n_hand_edges,n_v_reclass_edges,n_h26_edges,n_h22_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,quality_v10
6,2,1,0,0,0,0,1,0,0,0,1.0,1.0,0.8854,0.5,0.8406
11,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,0.8333
14,1,0,0,0,0,0,0,0,0,0,,1.0,1.0,0.5,0.8333
4,1,0,0,0,0,0,0,0,0,0,,1.0,0.9071,0.5,0.7962
13,1,0,0,0,0,0,0,0,0,0,,1.0,0.75,0.5,0.7333
0,4,3,0,0,0,0,0,0,0,0,0.0,1.0,0.8798,0.875,0.6827
3,4,3,0,0,0,0,0,0,0,0,0.0,1.0,0.8707,0.875,0.68
8,4,3,0,0,0,0,0,0,0,0,0.0,1.0,0.8561,0.875,0.6756
5,1,0,0,0,0,0,0,0,0,0,,1.0,0.5,0.5,0.6333
12,3,2,1,0,0,0,0,0,0,0,0.0,1.0,0.8365,0.6667,0.6176
7,4,3,0,0,0,0,0,0,0,0,0.0,1.0,0.8645,0.625,0.6156
9,6,5,0,0,0,0,0,0,0,0,0.0,1.0,0.826,0.6667,0.6145
10,4,3,0,0,1,0,0,0,0,0,0.0,1.0,0.836,0.625,0.6071
1,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.8797,0.5,0.5889
2,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.8421,0.5,0.5776
