chain_id,q10,g_cv,q11,rank_v10,rank_v11,h11_label_v11
6,0.8406,0.427,0.7552,0,2,CONFIDENT
11,0.8333,,0.8333,1,0,CONFIDENT
14,0.8333,,0.8333,2,1,CONFIDENT
4,0.7962,0.552,0.6858,3,4,UNCERTAIN
13,0.7333,,0.7333,4,3,CONFIDENT
0,0.6827,0.405,0.6017,5,6,UNCERTAIN
3,0.68,0.837,0.5126,6,9,UNCERTAIN
8,0.6756,0.481,0.5794,7,7,UNCERTAIN
5,0.6333,,0.6333,8,5,UNCERTAIN
12,0.6176,1.179,0.3818,9,14,LOW
7,0.6156,0.852,0.4452,10,13,UNCERTAIN
9,0.6145,0.56,0.5025,11,10,UNCERTAIN
10,0.6071,0.447,0.5177,12,8,UNCERTAIN
1,0.5889,0.503,0.4883,13,11,UNCERTAIN
2,0.5776,0.642,0.4492,14,12,UNCERTAIN
