chain_id,q10,g_cv,q11,rank_v10,rank_v11,h11_label_v11
0,1.0,,1.0,0,0,CONFIDENT
3,1.0,,1.0,1,1,CONFIDENT
10,1.0,,1.0,2,2,CONFIDENT
21,1.0,,1.0,3,3,CONFIDENT
26,1.0,,1.0,4,4,CONFIDENT
27,1.0,,1.0,5,5,CONFIDENT
31,1.0,,1.0,6,6,CONFIDENT
33,1.0,,1.0,7,7,CONFIDENT
36,1.0,,1.0,8,8,CONFIDENT
40,1.0,,1.0,9,9,CONFIDENT
41,1.0,,1.0,10,10,CONFIDENT
13,0.9714,0.643,0.7785,11,20,CONFIDENT
35,0.9688,,0.9688,12,11,CONFIDENT
38,0.9664,0.664,0.7672,13,21,CONFIDENT
6,0.9635,0.859,0.7058,14,23,CONFIDENT
8,0.9619,0.821,0.7156,15,22,CONFIDENT
16,0.9583,1.27,0.5773,16,28,UNCERTAIN
32,0.9443,0.427,0.8162,17,19,CONFIDENT
25,0.9381,0.924,0.6609,18,24,UNCERTAIN
11,0.9365,,0.9365,19,12,CONFIDENT
1,0.9238,,0.9238,20,13,CONFIDENT
17,0.9109,,0.9109,21,14,CONFIDENT
20,0.9076,0.037,0.8965,22,16,CONFIDENT
9,0.9015,,0.9015,23,15,CONFIDENT
24,0.8857,,0.8857,24,17,CONFIDENT
19,0.8669,,0.8669,25,18,CONFIDENT
7,0.8356,0.72,0.6196,26,26,UNCERTAIN
28,0.6685,1.179,0.3148,27,35,LOW
4,0.6683,0.619,0.4826,28,31,UNCERTAIN
39,0.6613,1.014,0.3571,29,33,LOW
23,0.6451,0.15,0.6001,30,27,UNCERTAIN
5,0.64,,0.64,31,25,UNCERTAIN
18,0.6022,0.16,0.5542,32,29,UNCERTAIN
2,0.5977,0.553,0.4318,33,32,UNCERTAIN
34,0.58,1.055,0.2635,34,37,LOW
29,0.5767,0.831,0.3274,35,34,LOW
22,0.5584,1.537,0.0973,36,40,LOW
12,0.5044,,0.5044,37,30,UNCERTAIN
14,0.4538,1.089,0.1271,38,39,LOW
30,0.4053,0.417,0.2802,39,36,LOW
37,0.3236,0.849,0.0689,40,41,LOW
15,0.316,0.327,0.2179,41,38,LOW
