chain_id,n_tracklets,q10,g_cv,n_arcs_clean,penalized,q11
0,1,1.0,,0,False,1.0
3,1,1.0,,1,False,1.0
10,1,1.0,,1,False,1.0
21,1,1.0,,0,False,1.0
26,1,1.0,,0,False,1.0
27,1,1.0,,0,False,1.0
31,1,1.0,,1,False,1.0
33,1,1.0,,0,False,1.0
36,1,1.0,,1,False,1.0
40,1,1.0,,0,False,1.0
41,1,1.0,,0,False,1.0
13,1,0.9714,0.643,2,False,0.9714
35,1,0.9688,,1,False,0.9688
38,1,0.9664,0.664,2,False,0.9664
6,1,0.9635,0.859,2,False,0.9635
8,1,0.9619,0.821,2,False,0.9619
16,1,0.9583,1.27,2,False,0.9583
32,1,0.9443,0.427,2,False,0.9443
25,1,0.9381,0.924,2,False,0.9381
11,1,0.9365,,1,False,0.9365
1,1,0.9238,,0,False,0.9238
17,1,0.9109,,0,False,0.9109
9,1,0.9015,,1,False,0.9015
20,2,0.9076,0.037,3,True,0.8891
24,1,0.8857,,1,False,0.8857
19,2,0.8669,,1,False,0.8669
28,2,0.6685,1.179,2,False,0.6685
23,3,0.6451,0.15,2,False,0.6451
5,2,0.64,,1,False,0.64
18,3,0.6022,0.16,2,False,0.6022
34,2,0.58,1.055,2,False,0.58
12,3,0.5044,,1,False,0.5044
7,2,0.8356,0.72,3,True,0.4756
14,2,0.4538,1.089,2,False,0.4538
4,2,0.6683,0.619,5,True,0.3588
2,2,0.5977,0.553,3,True,0.3212
15,3,0.316,0.327,2,False,0.316
30,5,0.4053,0.417,8,True,0.1968
29,5,0.5767,0.831,4,True,0.1612
39,2,0.6613,1.014,3,True,0.1543
22,7,0.5584,1.537,4,True,0.0
37,3,0.3236,0.849,6,True,0.0
