chain_id,n_tracklets,q10,g_cv,n_arcs_clean,g_penalty,q11,label
0,1,1.0,,0,0.0,1.0,CONFIDENT
3,1,1.0,,1,0.0,1.0,CONFIDENT
10,1,1.0,,1,0.0,1.0,CONFIDENT
21,1,1.0,,0,0.0,1.0,CONFIDENT
26,1,1.0,,0,0.0,1.0,CONFIDENT
27,1,1.0,,0,0.0,1.0,CONFIDENT
31,1,1.0,,1,0.0,1.0,CONFIDENT
33,1,1.0,,0,0.0,1.0,CONFIDENT
36,1,1.0,,1,0.0,1.0,CONFIDENT
40,1,1.0,,0,0.0,1.0,CONFIDENT
41,1,1.0,,0,0.0,1.0,CONFIDENT
13,1,0.9714,0.643,2,0.0,0.9714,CONFIDENT
35,1,0.9688,,1,0.0,0.9688,CONFIDENT
38,1,0.9664,0.664,2,0.0,0.9664,CONFIDENT
6,1,0.9635,0.859,2,0.0,0.9635,CONFIDENT
8,1,0.9619,0.821,2,0.0,0.9619,CONFIDENT
16,1,0.9583,1.27,2,0.0,0.9583,CONFIDENT
32,1,0.9443,0.427,2,0.0,0.9443,CONFIDENT
25,1,0.9381,0.924,2,0.0,0.9381,CONFIDENT
11,1,0.9365,,1,0.0,0.9365,CONFIDENT
1,1,0.9238,,0,0.0,0.9238,CONFIDENT
17,1,0.9109,,0,0.0,0.9109,CONFIDENT
20,2,0.9076,0.037,3,0.0,0.9076,CONFIDENT
9,1,0.9015,,1,0.0,0.9015,CONFIDENT
24,1,0.8857,,1,0.0,0.8857,CONFIDENT
19,2,0.8669,,1,0.0,0.8669,CONFIDENT
7,2,0.8356,0.72,3,0.132,0.7036,CONFIDENT
28,2,0.6685,1.179,2,0.0,0.6685,UNCERTAIN
23,3,0.6451,0.15,2,0.0,0.6451,UNCERTAIN
5,2,0.64,,1,0.0,0.64,UNCERTAIN
18,3,0.6022,0.16,2,0.0,0.6022,UNCERTAIN
4,2,0.6683,0.619,5,0.0714,0.5969,UNCERTAIN
34,2,0.58,1.055,2,0.0,0.58,UNCERTAIN
2,2,0.5977,0.553,3,0.0318,0.5659,UNCERTAIN
12,3,0.5044,,1,0.0,0.5044,UNCERTAIN
14,2,0.4538,1.089,2,0.0,0.4538,UNCERTAIN
30,5,0.4053,0.417,8,0.0,0.4053,UNCERTAIN
29,5,0.5767,0.831,4,0.1986,0.3781,LOW
39,2,0.6613,1.014,3,0.3,0.3613,LOW
15,3,0.316,0.327,2,0.0,0.316,LOW
22,7,0.5584,1.537,4,0.3,0.2584,LOW
37,3,0.3236,0.849,6,0.2094,0.1142,LOW
