chain_id,n_tracklets,q10,g_cv,n_arcs_clean,g_penalty,q11
0,1,1.0,,0,0.0,1.0
3,1,1.0,,1,0.0,1.0
10,1,1.0,,1,0.0,1.0
21,1,1.0,,0,0.0,1.0
26,1,1.0,,0,0.0,1.0
27,1,1.0,,0,0.0,1.0
31,1,1.0,,1,0.0,1.0
33,1,1.0,,0,0.0,1.0
36,1,1.0,,1,0.0,1.0
40,1,1.0,,0,0.0,1.0
41,1,1.0,,0,0.0,1.0
13,1,0.9714,0.643,2,0.0,0.9714
35,1,0.9688,,1,0.0,0.9688
38,1,0.9664,0.664,2,0.0,0.9664
6,1,0.9635,0.859,2,0.0,0.9635
8,1,0.9619,0.821,2,0.0,0.9619
32,1,0.9443,0.427,2,0.0,0.9443
25,1,0.9381,0.924,2,0.0,0.9381
11,1,0.9365,,1,0.0,0.9365
1,1,0.9238,,0,0.0,0.9238
17,1,0.9109,,0,0.0,0.9109
20,2,0.9076,0.037,3,0.0,0.9076
9,1,0.9015,,1,0.0,0.9015
24,1,0.8857,,1,0.0,0.8857
16,1,0.9583,1.27,2,0.081,0.8773
19,2,0.8669,,1,0.0,0.8669
7,2,0.8356,0.72,3,0.132,0.7036
23,3,0.6451,0.15,2,0.0,0.6451
5,2,0.64,,1,0.0,0.64
28,2,0.6685,1.179,2,0.0537,0.6148
18,3,0.6022,0.16,2,0.0,0.6022
4,2,0.6683,0.619,5,0.0714,0.5969
2,2,0.5977,0.553,3,0.0318,0.5659
34,2,0.58,1.055,2,0.0165,0.5635
12,3,0.5044,,1,0.0,0.5044
14,2,0.4538,1.089,2,0.0267,0.4271
30,5,0.4053,0.417,8,0.0,0.4053
29,5,0.5767,0.831,4,0.1986,0.3781
39,2,0.6613,1.014,3,0.3,0.3613
15,3,0.316,0.327,2,0.0,0.316
22,7,0.5584,1.537,4,0.3,0.2584
37,3,0.3236,0.849,6,0.2094,0.1142
