chain_id,n_tracklets,q10,g_cv,n_arcs_clean,g_penalty,q11
6,2,0.8406,0.427,6,0.0,0.8406
11,1,0.8333,,0,0.0,0.8333
14,1,0.8333,,1,0.0,0.8333
4,1,0.7962,0.552,6,0.0312,0.765
13,1,0.7333,,1,0.0,0.7333
0,4,0.6827,0.405,13,0.0,0.6827
8,4,0.6756,0.481,16,0.0,0.6756
5,1,0.6333,,0,0.0,0.6333
10,4,0.6071,0.447,11,0.0,0.6071
1,2,0.5889,0.503,12,0.0018,0.5871
9,6,0.6145,0.56,13,0.036,0.5785
2,2,0.5776,0.642,3,0.0852,0.4924
3,4,0.68,0.837,27,0.2022,0.4778
7,4,0.6156,0.852,13,0.2112,0.4044
12,3,0.6176,1.179,6,0.3,0.3176
