chain_id,n_tracklets,n_hand_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,quality_v5,quality_v6
2,2,1,0,1,0,0,0,1.0,1.0,0.8020833333333334,0.5,0.9208,0.8156
36,2,0,1,0,1,0,0,,1.0,0.9012345679012346,0.5,0.9436,0.7938
8,2,1,0,1,0,0,0,1.0,1.0,0.6216216216216216,0.5,0.8486,0.7615
19,3,0,2,0,2,0,0,,1.0,0.8714285714285714,0.3333333333333333,0.9265,0.7263
20,2,0,1,0,1,0,0,,1.0,0.8648648648648649,0.25,0.9228,0.6959
29,2,0,1,0,1,0,1,,0.5,0.9367088607594937,0.5,0.7495,0.6747
23,7,0,6,0,6,0,0,,1.0,0.7142857142857143,0.2857142857142857,0.8367,0.6476
21,2,0,1,0,1,0,0,,1.0,0.9404761904761905,0.0,0.966,0.6429
24,3,0,2,0,2,1,0,,0.5,0.9230769230769231,0.3333333333333333,0.7418,0.6137
40,2,1,0,0,0,0,0,0.0,1.0,0.90625,0.5,0.6625,0.5969
4,2,0,1,0,1,1,0,,0.0,0.9607843137254902,0.5,0.549,0.551
16,2,0,1,0,1,1,0,,0.0,0.8536585365853658,0.5,0.4878,0.5081
31,5,2,2,1,2,2,0,0.5,0.0,0.8415492957746479,0.5,0.4866,0.5025
30,5,3,1,2,1,1,0,0.6666666666666666,0.0,0.6353591160220995,0.5,0.4541,0.4823
0,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
1,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
3,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
5,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
6,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
7,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
9,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
10,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
11,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
12,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
14,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
17,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
18,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
22,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
25,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
26,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
27,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
28,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
32,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
33,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
34,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
35,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
37,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
39,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
41,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
42,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
13,4,1,2,0,2,2,0,0.0,0.0,0.7432432432432432,0.5,0.2973,0.348
15,2,0,1,0,1,1,0,,0.0,0.8285714285714286,0.0,0.4735,0.3314
38,3,1,1,0,1,1,0,0.0,0.0,0.8828828828828829,0.16666666666666666,0.3532,0.3065
