chain_id,n_tracklets,n_hand_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,quality_v5,quality_v6
6,2,1,0,1,0,0,0,1.0,1.0,0.917098445595855,0.5,0.9668,0.8501
3,4,0,3,0,3,3,0,,0.0,0.9766146993318485,0.875,0.5581,0.6823
8,4,0,3,0,3,3,0,,0.0,0.9632224168126094,0.875,0.5504,0.677
12,3,0,2,0,2,1,1,,0.25,0.9473684210526315,0.6666666666666666,0.6485,0.6678
0,4,0,3,0,3,3,0,,0.0,0.9314775160599572,0.875,0.5323,0.6643
7,4,0,3,0,3,3,0,,0.0,0.9484029484029484,0.625,0.5419,0.5877
10,4,0,3,0,3,3,0,,0.0,0.9423963133640553,0.625,0.5385,0.5853
9,6,0,5,0,5,5,0,,0.0,0.8879120879120879,0.6666666666666666,0.5074,0.5774
1,2,0,1,0,1,1,0,,0.0,0.9764705882352941,0.5,0.558,0.5573
2,2,0,1,0,1,1,0,,0.0,0.8854166666666666,0.5,0.506,0.5208
4,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
5,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
11,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
13,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
14,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286,0.4333
