chain_id,n_tracklets,n_hand_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,quality_v6b
21,2,0,1,0,1,0,0,,1.0,0.9404761904761905,0.0,0.966
36,2,0,1,0,1,0,0,,1.0,0.9012345679012346,0.5,0.9436
19,3,0,2,0,2,0,0,,1.0,0.8714285714285714,0.3333333333333333,0.9265
20,2,0,1,0,1,0,0,,1.0,0.8648648648648649,0.25,0.9228
2,2,1,0,1,0,0,0,1.0,1.0,0.8020833333333334,0.5,0.9208
8,2,1,0,1,0,0,0,1.0,1.0,0.6216216216216216,0.5,0.8486
23,7,0,6,0,6,0,0,,1.0,0.7142857142857143,0.2857142857142857,0.8367
29,2,0,1,0,1,0,1,,0.5,0.9367088607594937,0.5,0.7495
24,3,0,2,0,2,1,0,,0.5,0.9230769230769231,0.3333333333333333,0.7418
40,2,1,0,0,0,0,0,0.0,1.0,0.90625,0.5,0.6625
4,2,0,1,0,1,1,0,,0.0,0.9607843137254902,0.5,0.549
16,2,0,1,0,1,1,0,,0.0,0.8536585365853658,0.5,0.4878
31,5,2,2,1,2,2,0,0.5,0.0,0.8415492957746479,0.5,0.4866
15,2,0,1,0,1,1,0,,0.0,0.8285714285714286,0.0,0.4735
30,5,3,1,2,1,1,0,0.6666666666666666,0.0,0.6353591160220995,0.5,0.4541
0,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
1,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
3,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
5,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
6,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
7,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
9,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
10,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
11,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
12,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
14,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
17,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
18,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
22,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
25,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
26,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
27,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
28,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
32,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
33,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
34,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
35,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
37,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
39,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
41,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
42,1,0,0,0,0,0,0,,1.0,0.0,0.5,0.4286
38,3,1,1,0,1,1,0,0.0,0.0,0.8828828828828829,0.16666666666666666,0.3532
13,4,1,2,0,2,2,0,0.0,0.0,0.7432432432432432,0.5,0.2973
