chain_id,n_tracklets,n_hand_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,mean_tracklet_length,w8v8_length_dep,quality_v7
2,2,1,0,1,0,0,0,1.0,1.0,0.8020833333333334,0.5,43.5,0.2175,0.8457
36,2,0,1,0,1,0,0,,1.0,0.9012345679012346,0.5,41.0,0.205,0.8431
8,2,1,0,1,0,0,0,1.0,1.0,0.6216216216216216,0.5,28.0,0.14,0.8058
20,2,0,1,0,1,0,0,,1.0,0.8648648648648649,0.25,37.0,0.185,0.7821
19,3,0,2,0,2,0,0,,1.0,0.8714285714285714,0.3333333333333333,45.3,0.2267,0.7814
23,7,0,6,0,6,0,0,,1.0,0.7142857142857143,0.2857142857142857,26.1,0.1307,0.75
29,2,0,1,0,1,0,1,,0.5,0.9367088607594937,0.5,41.0,0.205,0.693
21,2,0,1,0,1,0,0,,1.0,0.9404761904761905,0.0,83.0,0.3,0.6762
40,2,1,0,0,0,0,0,0.0,1.0,0.90625,0.5,19.5,0.0975,0.6481
24,3,0,2,0,2,1,0,,0.5,0.9230769230769231,0.3333333333333333,76.7,0.3,0.6192
4,2,0,1,0,1,1,0,,0.0,0.9607843137254902,0.5,53.5,0.2675,0.5355
16,2,0,1,0,1,1,0,,0.0,0.8536585365853658,0.5,22.0,0.11,0.4895
31,5,2,2,1,2,2,0,0.5,0.0,0.8415492957746479,0.5,52.6,0.263,0.4894
30,5,3,1,2,1,1,0,0.6666666666666666,0.0,0.6353591160220995,0.5,27.2,0.136,0.4596
17,1,0,0,0,0,0,0,,1.0,0.0,0.5,102.0,0.3,0.45
18,1,0,0,0,0,0,0,,1.0,0.0,0.5,83.0,0.3,0.45
26,1,0,0,0,0,0,0,,1.0,0.0,0.5,163.0,0.3,0.45
9,1,0,0,0,0,0,0,,1.0,0.0,0.5,51.0,0.255,0.4476
33,1,0,0,0,0,0,0,,1.0,0.0,0.5,47.0,0.235,0.4465
14,1,0,0,0,0,0,0,,1.0,0.0,0.5,46.0,0.23,0.4462
39,1,0,0,0,0,0,0,,1.0,0.0,0.5,40.0,0.2,0.4444
10,1,0,0,0,0,0,0,,1.0,0.0,0.5,35.0,0.175,0.4429
5,1,0,0,0,0,0,0,,1.0,0.0,0.5,23.0,0.115,0.4387
0,1,0,0,0,0,0,0,,1.0,0.0,0.5,21.0,0.105,0.4379
1,1,0,0,0,0,0,0,,1.0,0.0,0.5,21.0,0.105,0.4379
7,1,0,0,0,0,0,0,,1.0,0.0,0.5,21.0,0.105,0.4379
32,1,0,0,0,0,0,0,,1.0,0.0,0.5,21.0,0.105,0.4379
37,1,0,0,0,0,0,0,,1.0,0.0,0.5,20.0,0.1,0.4375
3,1,0,0,0,0,0,0,,1.0,0.0,0.5,18.0,0.09,0.4367
11,1,0,0,0,0,0,0,,1.0,0.0,0.5,17.0,0.085,0.4363
12,1,0,0,0,0,0,0,,1.0,0.0,0.5,15.0,0.075,0.4355
27,1,0,0,0,0,0,0,,1.0,0.0,0.5,15.0,0.075,0.4355
25,1,0,0,0,0,0,0,,1.0,0.0,0.5,10.0,0.05,0.4333
6,1,0,0,0,0,0,0,,1.0,0.0,0.5,9.0,0.045,0.4329
22,1,0,0,0,0,0,0,,1.0,0.0,0.5,9.0,0.045,0.4329
41,1,0,0,0,0,0,0,,1.0,0.0,0.5,9.0,0.045,0.4329
35,1,0,0,0,0,0,0,,1.0,0.0,0.5,8.0,0.04,0.4324
34,1,0,0,0,0,0,0,,1.0,0.0,0.5,6.0,0.03,0.4315
28,1,0,0,0,0,0,0,,1.0,0.0,0.5,4.0,0.02,0.4306
42,1,0,0,0,0,0,0,,1.0,0.0,0.5,2.0,0.01,0.4296
15,2,0,1,0,1,1,0,,0.0,0.8285714285714286,0.0,19.5,0.0975,0.4156
13,4,1,2,0,2,2,0,0.0,0.0,0.7432432432432432,0.5,31.5,0.1575,0.3249
38,3,1,1,0,1,1,0,0.0,0.0,0.8828828828828829,0.16666666666666666,36.0,0.18,0.3247
