chain_id,n_tracklets,n_hand_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,mean_tracklet_length,w8v8_length_dep,quality_v7
6,2,1,0,1,0,0,0,1.0,1.0,0.917098445595855,0.5,92.5,0.3,0.8591
12,3,0,2,0,2,1,1,,0.25,0.9473684210526315,0.6666666666666666,70.0,0.3,0.6539
3,4,0,3,0,3,3,0,,0.0,0.9766146993318485,0.875,222.8,0.3,0.6531
8,4,0,3,0,3,3,0,,0.0,0.9632224168126094,0.875,140.5,0.3,0.6478
0,4,0,3,0,3,3,0,,0.0,0.9314775160599572,0.875,113.2,0.3,0.6351
7,4,0,3,0,3,3,0,,0.0,0.9484029484029484,0.625,100.8,0.3,0.5669
10,4,0,3,0,3,3,0,,0.0,0.9423963133640553,0.625,105.5,0.3,0.5645
9,6,0,5,0,5,5,0,,0.0,0.8879120879120879,0.6666666666666666,71.3,0.3,0.5552
1,2,0,1,0,1,1,0,,0.0,0.9764705882352941,0.5,212.5,0.3,0.5406
2,2,0,1,0,1,1,0,,0.0,0.8854166666666666,0.5,47.5,0.2375,0.5044
4,1,0,0,0,0,0,0,,1.0,0.0,0.5,230.0,0.3,0.45
14,1,0,0,0,0,0,0,,1.0,0.0,0.5,17.0,0.085,0.4363
13,1,0,0,0,0,0,0,,1.0,0.0,0.5,8.0,0.04,0.4324
5,1,0,0,0,0,0,0,,1.0,0.0,0.5,6.0,0.03,0.4315
11,1,0,0,0,0,0,0,,1.0,0.0,0.5,4.0,0.02,0.4306
