chain_id,n_tracklets,n_hand_edges,n_air_edges,n_h3_confirmed,n_air_in_chain,n_air_violating,n_air_unknown,h3_score,h8_score,h9_score,h8v8_score,quality_v8
6,2,1,0,1,0,0,0,1.0,1.0,0.8854166666666666,0.5,0.840625
11,1,0,0,0,0,0,0,,1.0,1.0,0.5,0.8333333333333333
14,1,0,0,0,0,0,0,,1.0,1.0,0.5,0.8333333333333333
4,1,0,0,0,0,0,0,,1.0,0.9070796460176991,0.5,0.7961651917404129
13,1,0,0,0,0,0,0,,1.0,0.75,0.5,0.7333333333333333
3,4,3,0,0,0,0,0,0.0,1.0,0.8706800445930881,0.875,0.6799540133779265
8,4,3,0,0,0,0,0,0.0,1.0,0.856140350877193,0.875,0.6755921052631579
0,7,6,0,0,0,0,0,0.0,1.0,0.8573021181716833,0.8571428571428571,0.6714763497372193
5,1,0,0,0,0,0,0,,1.0,0.5,0.5,0.6333333333333333
7,4,3,0,0,0,0,0,0.0,1.0,0.8645320197044335,0.625,0.6156096059113301
9,6,5,0,0,0,0,0,0.0,1.0,0.8259911894273128,0.6666666666666666,0.6144640234948605
1,2,1,0,0,0,0,0,0.0,1.0,0.8797169811320755,0.5,0.5889150943396226
2,2,1,0,0,0,0,0,0.0,1.0,0.8421052631578947,0.5,0.5776315789473684
10,1,0,0,0,0,0,0,,1.0,0.75,0.0,0.5666666666666667
12,3,1,1,0,1,0,1,0.0,0.5,0.8365384615384616,0.6666666666666666,0.5176282051282051
