phase_key,verdict,strategy,n,correct,wrong,TP,FP,FN,precision,recall
identical_balls_trick_000_018_1029_1049,JUGGLING,S2,6,2,4,2,0,0,1.000,1.000
identical_balls_trick_000_018_1029_1049,JUGGLING,S3,6,2,4,2,0,0,1.000,1.000
identical_balls_trick_000_018_263_312,JUGGLING,S2,2,1,1,0,1,1,0.000,0.000
identical_balls_trick_000_018_263_312,JUGGLING,S3,2,1,1,0,1,1,0.000,0.000
identical_balls_trick_000_018_549_578,JUGGLING,S2,2,1,1,1,0,0,1.000,1.000
identical_balls_trick_000_018_549_578,JUGGLING,S3,2,1,1,1,0,0,1.000,1.000
identical_balls_trick_000_018_631_669,JUGGLING,S2,1,1,0,1,0,0,1.000,1.000
identical_balls_trick_000_018_631_669,JUGGLING,S3,1,1,0,1,0,0,1.000,1.000
identical_balls_trick_000_018_685_716,STATIC_HOLD,S1,1,0,1,0,0,0,0.000,0.000
identical_balls_trick_000_018_685_716,STATIC_HOLD,S2,3,1,2,1,0,0,1.000,1.000
identical_balls_trick_000_018_685_716,STATIC_HOLD,S3,3,1,2,1,0,0,1.000,1.000
identical_balls_trick_000_018_890_936,OTHER_CROSSED_ARM,S2,1,0,1,0,0,0,0.000,0.000
identical_balls_trick_000_018_890_936,OTHER_CROSSED_ARM,S3,1,0,1,0,0,0,0.000,0.000
identical_balls_trick_000_018_977_1011,JUGGLING,S2,3,1,2,0,0,1,0.000,0.000
identical_balls_trick_000_018_977_1011,JUGGLING,S3,3,1,2,0,0,1,0.000,0.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,JUGGLING,S1,1,0,1,0,0,0,0.000,0.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,JUGGLING,S2,3,1,2,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,JUGGLING,S3,3,1,2,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,JUGGLING,S2,1,1,0,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,JUGGLING,S3,1,1,0,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,STATIC_HOLD,S1,1,1,0,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,STATIC_HOLD,S2,1,1,0,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,STATIC_HOLD,S3,1,1,0,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,JUGGLING,S1,1,1,0,1,0,0,1.000,1.000
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,JUGGLING,S2,2,2,0,2,0,0,1.000,1.000
