stem,src,tgt,edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,gap,spatial_jump,v_jump,label,h93_phase_key,drop_at_20,drop_at_25,drop_at_30,drop_at_40,drop_at_50,drop_at_60,drop_at_80,drop_at_100
identical_balls_trick_000_018,17,23,HAND_TRANSITION,right,right,False,20.95,52.43,25,159.57,6.38,NOT_REVIEWED,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,52,54,HAND_TRANSITION,right,right,False,40.48,39.11,17,49.99,2.94,NOT_REVIEWED,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,53,60,HAND_TRANSITION,right,right,False,56.97,46.85,21,82.56,3.93,NOT_REVIEWED,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,68,71,HAND_TRANSITION,right,right,False,12.16,18.59,14,38.92,2.78,correct,identical_balls_trick_000_018_1029_1049,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,72,73,HAND_TRANSITION,right,right,False,53.17,51.71,4,131.34,32.84,NOT_REVIEWED,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,70,74,HAND_TRANSITION,left,left,False,33.94,101.84,6,170.0,28.33,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,3,8,RECLASSIFIED_HAND_TRANSITION,left,left,False,106.16,71.47,12,227.01,18.92,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,5,6,RECLASSIFIED_HAND_TRANSITION,,right,False,,96.15,5,141.31,28.26,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,22,27,RECLASSIFIED_HAND_TRANSITION,left,right,True,46.69,56.25,11,190.35,17.3,wrong,identical_balls_trick_000_018_263_312,True,True,True,True,False,False,False,False
identical_balls_trick_000_018,29,34,RECLASSIFIED_HAND_TRANSITION,left,,False,47.51,,11,72.58,6.6,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,35,37,RECLASSIFIED_HAND_TRANSITION,left,,False,19.16,,11,40.78,3.71,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,37,40,RECLASSIFIED_HAND_TRANSITION,,left,False,,93.97,15,76.7,5.11,correct,identical_balls_trick_000_018_549_578,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,38,39,RECLASSIFIED_HAND_TRANSITION,,right,False,,62.73,11,101.68,9.24,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,40,41,RECLASSIFIED_HAND_TRANSITION,right,right,False,62.99,50.85,9,2.29,0.25,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,43,45,RECLASSIFIED_HAND_TRANSITION,,right,False,,60.86,9,10.21,1.13,correct,identical_balls_trick_000_018_631_669,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,45,46,RECLASSIFIED_HAND_TRANSITION,left,left,False,81.89,89.36,9,41.32,4.59,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,62,66,RECLASSIFIED_HAND_TRANSITION,right,left,True,22.19,56.26,9,116.08,12.9,correct,,True,False,False,False,False,False,False,False
identical_balls_trick_000_018,64,68,RECLASSIFIED_HAND_TRANSITION,right,right,False,59.03,36.23,6,65.99,11.0,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,39,47,V_RECLASSIFIED_HAND_TRANSITION,left,left,False,174.1,109.2,9,71.59,7.95,correct,identical_balls_trick_000_018_685_716,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,51,52,V_RECLASSIFIED_HAND_TRANSITION,,right,False,,94.24,9,75.92,8.44,correct,identical_balls_trick_000_018_733_766,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,23,25,V_RECLASSIFIED_HAND_TRANSITION,left,left,False,76.77,83.23,8,100.9,12.61,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,30,33,V_RECLASSIFIED_HAND_TRANSITION,left,left,False,57.47,71.37,11,71.93,6.54,correct,identical_balls_trick_000_018_411_450,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,7,10,H26_RECLASSIFIED_HAND_TRANSITION,left,left,False,50.14,71.95,8,156.1,19.51,correct,,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,59,61,H26_RECLASSIFIED_HAND_TRANSITION,right,right,False,46.08,31.32,11,71.39,6.49,correct,,False,False,False,False,False,False,False,False
