phase_key,verdict,n_rows,default_TP,default_FP,default_FN,h112_drops_correct,h112_drops_wrong
identical_balls_trick_000_018_1029_1049,JUGGLING,1,1,0,0,0,0
identical_balls_trick_000_018_263_312,JUGGLING,1,0,0,0,0,1
identical_balls_trick_000_018_411_450,JUGGLING,1,1,0,0,0,0
identical_balls_trick_000_018_549_578,JUGGLING,1,1,0,0,0,0
identical_balls_trick_000_018_631_669,JUGGLING,1,1,0,0,0,0
identical_balls_trick_000_018_685_716,STATIC_HOLD,1,1,0,0,0,0
identical_balls_trick_000_018_733_766,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,JUGGLING,2,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_267_298,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,STATIC_HOLD,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,STATIC_HOLD,3,3,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,JUGGLING,1,1,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,JUGGLING,3,3,0,0,0,0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,JUGGLING,1,1,0,0,0,0
