stem,src,tgt,gap,label,in_h7v3plus3,chain_edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,spatial_jump,v_jump,is_hand_edge,v1_d30_j80,v1_d30_j100,v1_d30_j120,v1_d30_j150,v1_d30_j200,v1_d40_j100,v1_d40_j150,v1_d40_j200,v1_d40_j250,v1_d50_j100,v1_d50_j150,v1_d50_j200,v1_d50_j250,v1_d60_j150,v1_d60_j200,v1_d60_j250,v1_d60_j300,v1_d80_j200,v1_d80_j250,v1_d80_j300,v2_d30,v2_d40,v2_d50,v2_d60,v2_d80,v2_d100
identical_balls_trick_000_018,1,6,4,correct,False,NOT_IN_CHAIN,right,right,False,77.85,96.15,248.5,62.13,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False
identical_balls_trick_000_018,2,6,4,wrong,False,NOT_IN_CHAIN,left,right,True,91.93,96.15,352.79,88.2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
identical_balls_trick_000_018,3,8,6,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,106.16,71.47,227.01,37.83,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False
identical_balls_trick_000_018,3,7,2,wrong,False,NOT_IN_CHAIN,left,right,True,106.16,66.22,310.07,155.04,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False
identical_balls_trick_000_018,4,7,0,correct,False,NOT_IN_CHAIN,right,right,False,55.99,66.22,87.61,inf,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,4,8,4,wrong,False,NOT_IN_CHAIN,right,left,True,55.99,71.47,306.0,76.5,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,5,6,0,correct,True,RECLASSIFIED_HAND_TRANSITION,,right,False,,96.15,141.31,inf,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,6,15,10,wrong,False,NOT_IN_CHAIN,right,right,False,47.25,15.21,101.09,10.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,7,10,2,correct,True,H26_RECLASSIFIED_HAND_TRANSITION,left,left,False,50.14,71.95,156.1,78.05,True,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,9,12,0,correct,False,NOT_IN_CHAIN,left,left,False,13.75,119.4,161.76,inf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,9,13,0,wrong,False,NOT_IN_CHAIN,left,left,False,13.75,121.59,127.54,inf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,10,11,2,correct,False,NOT_IN_CHAIN,right,right,False,87.39,29.53,155.76,77.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,11,13,1,correct,False,NOT_IN_CHAIN,right,left,True,48.43,121.59,201.84,201.84,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,11,12,1,wrong,False,NOT_IN_CHAIN,right,left,True,48.43,119.4,320.21,320.21,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,12,17,10,correct,False,NOT_IN_CHAIN,left,right,True,34.62,60.22,281.65,28.16,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,12,16,2,wrong,False,NOT_IN_CHAIN,left,right,True,34.62,131.07,325.12,162.56,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,14,19,8,correct,False,NOT_IN_CHAIN,right,left,True,52.69,68.92,102.76,12.84,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,14,18,0,wrong,False,NOT_IN_CHAIN,right,right,False,52.69,288.8,321.47,inf,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,15,17,10,wrong,False,NOT_IN_CHAIN,right,right,False,38.27,60.22,196.26,19.63,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
