stem,src,tgt,vshape,in_hand_px,min_hand_dist,gap_dist,gap_vel,apex_src_dist,h20_keep,end_d,start_d,end_side,start_side,spatial_jump,h114_v1_fires_TD40_TJ250,visual_qa_verdict,in_h7v3plus3
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,V_DEEP,30,8.29,43.5,7.25,39.03,True,6.63,4.99,left,left,40.063913937607225,False,,True
identical_balls_trick_000_018,1,6,V_DEEP,30,41.88,284.47,56.89,189.66,True,77.85,96.15,right,right,248.5006086511661,False,FALSE,False
identical_balls_trick_000_018,6,15,V_DEEP,30,2.1,97.06,8.82,83.86,True,47.25,15.21,right,right,101.08517200855916,False,,False
identical_balls_trick_000_018,7,10,V_SHALLOW,30,57.35,92.25,30.75,160.31,True,50.14,71.95,left,left,156.10421935361006,False,REAL,True
identical_balls_trick_000_018,9,12,V_DEEP,30,15.43,66.35,66.35,76.84,True,13.75,119.4,left,left,161.75545771317886,False,FALSE,False
identical_balls_trick_000_018,10,11,V_DEEP,30,34.72,44.93,14.98,37.43,True,87.39,29.53,right,right,155.7615023040032,False,PARTIAL,False
identical_balls_trick_000_018,12,17,V_DEEP,30,38.25,241.94,21.99,31.37,True,34.62,60.22,left,right,281.6484008475816,False,,False
identical_balls_trick_000_018,14,19,V_SHALLOW,30,54.08,62.31,6.92,138.31,True,52.69,68.92,right,left,102.75790577858231,False,,False
identical_balls_trick_000_018,15,17,V_DEEP,30,27.68,168.38,15.31,112.29,True,38.27,60.22,right,right,196.26210969007752,False,,False
identical_balls_trick_000_018,17,22,V_DEEP,30,22.44,301.39,37.67,80.51,True,20.95,297.23,right,right,401.0382089028426,False,,False
identical_balls_trick_000_018,18,22,V_DEEP,30,46.78,437.96,48.66,18.4,True,32.77,297.23,left,right,460.02983990171765,False,,False
identical_balls_trick_000_018,40,42,V_DEEP,30,19.22,225.0,37.5,37.47,True,62.99,40.05,right,left,227.0408643834849,False,,False
identical_balls_trick_000_018,44,53,V_SHALLOW,30,55.9,178.03,29.67,183.27,True,32.2,69.51,left,left,53.64039615811951,False,,False
identical_balls_trick_000_018,54,57,V_DEEP,30,8.51,208.97,52.24,89.72,True,9.61,202.48,right,right,320.8262372375426,False,,False
identical_balls_trick_000_018,56,57,V_DEEP,30,7.11,300.47,60.09,41.0,True,7.01,202.48,left,right,346.46868617524444,False,,False
identical_balls_trick_000_018,59,61,V_DEEP,30,18.94,52.13,5.79,43.46,True,46.08,31.32,right,right,71.38829385830701,False,REAL,True
identical_balls_trick_000_018,59,62,V_DEEP,30,12.52,104.09,9.46,104.09,True,46.08,1.78,right,left,58.34457129845078,False,,False
identical_balls_trick_000_018,62,65,V_DEEP,30,32.58,139.49,46.5,45.02,True,22.19,98.22,right,left,174.13722462471944,False,FALSE,False
identical_balls_trick_000_018,63,65,V_DEEP,30,39.9,268.22,44.7,178.84,True,63.06,98.22,left,left,187.98746899727118,False,,False
identical_balls_trick_000_018,66,69,V_DEEP,30,18.3,136.65,17.08,68.33,True,32.65,75.57,left,left,116.43451764833313,False,,False
identical_balls_trick_000_018,67,72,V_DEEP,30,26.14,279.85,69.96,279.81,True,272.56,16.95,left,left,244.29262780526147,False,FALSE,False
identical_balls_trick_000_018,68,72,V_DEEP,30,12.95,334.09,37.12,162.56,True,12.16,16.95,right,left,223.32090721649865,False,,False
identical_balls_trick_000_018,68,70,V_DEEP,30,12.95,466.65,51.85,162.56,True,12.16,197.05,right,left,315.43566221973066,False,,False
identical_balls_trick_000_018,73,75,V_DEEP,30,35.2,68.55,13.71,158.52,True,34.05,71.05,left,left,142.00647626076773,False,FALSE,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,V_DEEP,30,4.69,207.08,34.51,51.42,True,2.24,120.71,right,left,175.18421846730368,False,PARTIAL,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,V_DEEP,30,5.32,85.69,9.52,31.55,True,5.56,35.34,right,right,71.17550280819941,False,,True
