T_d,T_j,n_kept,n_rejected,n_kept_real,n_kept_true,n_rej_real,n_rej_true,precision_kept_real,precision_kept_true,precision_rej_real,precision_rej_true,recall_kept_real,recall_kept_true
25,80,10,10,2,5,1,4,0.2,0.5,0.1,0.4,0.6666666666666666,0.5555555555555556
25,100,10,10,2,5,1,4,0.2,0.5,0.1,0.4,0.6666666666666666,0.5555555555555556
25,150,14,6,2,6,1,3,0.14285714285714285,0.42857142857142855,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666
25,200,17,3,3,9,0,0,0.17647058823529413,0.5294117647058824,0.0,0.0,1.0,1.0
25,250,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
25,300,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
30,80,11,9,2,6,1,3,0.18181818181818182,0.5454545454545454,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666
30,100,11,9,2,6,1,3,0.18181818181818182,0.5454545454545454,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666
30,150,15,5,2,7,1,2,0.13333333333333333,0.4666666666666667,0.2,0.4,0.6666666666666666,0.7777777777777778
30,200,17,3,3,9,0,0,0.17647058823529413,0.5294117647058824,0.0,0.0,1.0,1.0
30,250,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
30,300,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
40,80,15,5,2,8,1,1,0.13333333333333333,0.5333333333333333,0.2,0.2,0.6666666666666666,0.8888888888888888
40,100,15,5,2,8,1,1,0.13333333333333333,0.5333333333333333,0.2,0.2,0.6666666666666666,0.8888888888888888
40,150,17,3,2,8,1,1,0.11764705882352941,0.47058823529411764,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8888888888888888
40,200,18,2,3,9,0,0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0
40,250,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
40,300,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
50,80,17,3,2,8,1,1,0.11764705882352941,0.47058823529411764,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8888888888888888
50,100,17,3,2,8,1,1,0.11764705882352941,0.47058823529411764,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8888888888888888
50,150,17,3,2,8,1,1,0.11764705882352941,0.47058823529411764,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8888888888888888
50,200,18,2,3,9,0,0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0
50,250,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
50,300,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
60,80,18,2,3,9,0,0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0
60,100,18,2,3,9,0,0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0
60,150,18,2,3,9,0,0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0
60,200,18,2,3,9,0,0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0
60,250,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
60,300,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
80,80,19,1,3,9,0,0,0.15789473684210525,0.47368421052631576,0.0,0.0,1.0,1.0
80,100,19,1,3,9,0,0,0.15789473684210525,0.47368421052631576,0.0,0.0,1.0,1.0
80,150,19,1,3,9,0,0,0.15789473684210525,0.47368421052631576,0.0,0.0,1.0,1.0
80,200,19,1,3,9,0,0,0.15789473684210525,0.47368421052631576,0.0,0.0,1.0,1.0
80,250,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
80,300,20,0,3,9,0,0,0.15,0.45,0,0,1.0,1.0
