kind,stem,src,tgt,vshape,gap,min_hand_dist,ratio,in_h7v2,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict
v4d_rejected,identical_balls_trick_000_018,35,40,V_DEEP,27,15.27,7.486,False,19.16,93.97,120.32,left,left,False,UNCLEAR
v4d_rejected,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,V_DEEP,11,8.29,4.244,True,6.63,4.99,40.06,left,left,True,REAL
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,V_DEEP,10,41.88,4.792,False,77.85,96.15,248.50,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,V_DEEP,8,22.33,10.255,False,106.16,66.22,310.07,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,4,7,V_SHALLOW,6,58.18,2.59,False,55.99,66.22,87.61,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,V_DEEP,10,2.97,96.221,False,55.99,71.47,306.00,right,left,False,FALSE
e6c_not_in_h7v2,identical_balls_trick_000_018,6,15,V_DEEP,16,2.1,46.6,False,47.25,15.21,101.09,right,right,False,REAL
e6c_not_in_h7v2,identical_balls_trick_000_018,7,10,V_SHALLOW,8,57.35,2.239,False,50.14,71.95,156.10,left,left,True,
e6c_not_in_h7v2,identical_balls_trick_000_018,9,12,V_DEEP,6,15.43,14.396,False,13.75,119.40,161.76,left,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,9,13,V_DEEP,6,15.43,8.169,False,13.75,121.59,127.54,left,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,10,11,V_DEEP,8,34.72,2.714,False,87.39,29.53,155.76,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,V_DEEP,7,34.51,8.073,False,48.43,121.59,201.84,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,V_DEEP,7,40.62,8.78,False,48.43,119.40,320.21,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,V_DEEP,16,38.25,4.488,False,34.62,60.22,281.65,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,V_DEEP,8,38.25,8.854,False,34.62,131.07,325.12,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,14,19,V_SHALLOW,14,54.08,3.241,False,52.69,68.92,102.76,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,15,17,V_DEEP,16,27.68,3.371,False,38.27,60.22,196.26,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,V_DEEP,8,46.6,5.237,False,38.27,131.07,257.51,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,17,22,V_DEEP,13,22.44,17.243,False,20.95,297.23,401.04,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,18,21,V_DEEP,6,46.78,6.287,False,32.77,,256.49,left,,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,18,22,V_DEEP,14,46.78,10.843,False,32.77,297.23,460.03,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,35,38,V_DEEP,11,6.99,13.619,False,19.16,,108.24,left,,False,FALSE
e6c_not_in_h7v2,identical_balls_trick_000_018,35,36,V_DEEP,11,15.27,29.629,False,19.16,406.95,464.60,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,40,42,V_DEEP,11,19.22,9.886,False,62.99,40.05,227.04,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,44,53,V_SHALLOW,11,55.9,3.487,False,32.20,69.51,53.64,left,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,54,57,V_DEEP,9,8.51,38.118,False,9.61,202.48,320.83,right,right,False,REAL
e6c_not_in_h7v2,identical_balls_trick_000_018,56,57,V_DEEP,10,7.11,65.473,False,7.01,202.48,346.47,left,right,False,REAL
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,V_DEEP,10,42.64,7.894,False,64.07,37.24,285.27,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,59,61,V_DEEP,11,18.94,5.303,False,46.08,31.32,71.39,right,right,True,
e6c_not_in_h7v2,identical_balls_trick_000_018,59,62,V_DEEP,13,12.52,12.529,False,46.08,1.78,58.34,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,62,65,V_DEEP,8,32.58,11.688,False,22.19,98.22,174.14,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,63,65,V_DEEP,11,39.9,5.315,False,63.06,98.22,187.99,left,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,66,69,V_DEEP,12,18.3,9.55,False,32.65,75.57,116.43,left,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,66,68,V_DEEP,5,10.86,19.129,False,32.65,36.23,238.91,left,right,False,FALSE
e6c_not_in_h7v2,identical_balls_trick_000_018,67,72,V_DEEP,9,26.14,11.886,False,272.56,16.95,244.29,left,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,67,71,V_DEEP,9,20.36,19.756,False,272.56,18.59,343.23,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,68,72,V_DEEP,14,12.95,16.569,False,12.16,16.95,223.32,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,68,70,V_DEEP,14,12.95,21.896,False,12.16,197.05,315.44,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,V_DEEP,6,30.89,9.946,False,53.17,101.84,317.03,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,73,75,V_DEEP,10,35.2,3.474,False,34.05,71.05,142.01,left,left,False,
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,V_DEEP,15,8.19,19.604,False,28.96,117.14,73.60,left,right,False,FALSE
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,V_DEEP,9,4.69,38.56,False,2.24,120.71,175.18,right,left,False,FALSE
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,V_DEEP,12,5.32,17.308,False,5.56,35.34,71.18,right,right,True,REAL
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,V_DEEP,13,7.8,4.276,False,,13.87,65.99,,right,False,PARTIAL
adjacent,identical_balls_trick_000_018,1,6,V_DEEP,10,41.88,4.792,False,77.85,96.15,248.50,right,right,False,
adjacent,identical_balls_trick_000_018,1,7,V_DEEP,22,45.58,3.698,False,77.85,66.22,248.30,right,right,False,
adjacent,identical_balls_trick_000_018,2,7,V_DEEP,22,14.34,26.331,False,91.93,66.22,491.14,left,right,False,
adjacent,identical_balls_trick_000_018,3,7,V_DEEP,8,22.33,10.255,False,106.16,66.22,310.07,left,right,False,
adjacent,identical_balls_trick_000_018,3,9,V_DEEP,20,31.58,4.93,False,106.16,31.19,77.09,left,left,False,
