kind,stem,src,tgt,vshape,gap,min_hand_dist,ratio,in_h7v2,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,V_DEEP,10,41.88,4.792,False,77.85,96.15,248.50,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,V_DEEP,8,22.33,10.255,False,106.16,66.22,310.07,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,V_DEEP,10,2.97,96.221,False,55.99,71.47,306.00,right,left,False,FALSE
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,V_DEEP,7,34.51,8.073,False,48.43,121.59,201.84,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,V_DEEP,7,40.62,8.78,False,48.43,119.40,320.21,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,V_DEEP,16,38.25,4.488,False,34.62,60.22,281.65,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,V_DEEP,8,38.25,8.854,False,34.62,131.07,325.12,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,V_DEEP,8,46.6,5.237,False,38.27,131.07,257.51,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,18,22,V_DEEP,14,46.78,10.843,False,32.77,297.23,460.03,left,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,40,42,V_DEEP,11,19.22,9.886,False,62.99,40.05,227.04,right,left,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,V_DEEP,10,42.64,7.894,False,64.07,37.24,285.27,right,right,False,
e6c_not_in_h7v2,identical_balls_trick_000_018,66,68,V_DEEP,5,10.86,19.129,False,32.65,36.23,238.91,left,right,False,FALSE
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,V_DEEP,6,30.89,9.946,False,53.17,101.84,317.03,right,left,False,
adjacent,identical_balls_trick_000_018,1,6,V_DEEP,10,41.88,4.792,False,77.85,96.15,248.50,right,right,False,
adjacent,identical_balls_trick_000_018,1,7,V_DEEP,22,45.58,3.698,False,77.85,66.22,248.30,right,right,False,
adjacent,identical_balls_trick_000_018,2,7,V_DEEP,22,14.34,26.331,False,91.93,66.22,491.14,left,right,False,
adjacent,identical_balls_trick_000_018,3,7,V_DEEP,8,22.33,10.255,False,106.16,66.22,310.07,left,right,False,
adjacent,identical_balls_trick_000_018,4,8,V_DEEP,10,2.97,96.221,False,55.99,71.47,306.00,right,left,False,FALSE
adjacent,identical_balls_trick_000_018,4,9,V_DEEP,18,35.31,11.539,False,55.99,31.19,254.05,right,left,False,
adjacent,identical_balls_trick_000_018,11,12,V_DEEP,7,40.62,8.78,False,48.43,119.40,320.21,right,left,False,
adjacent,identical_balls_trick_000_018,11,13,V_DEEP,7,34.51,8.073,False,48.43,121.59,201.84,right,left,False,
adjacent,identical_balls_trick_000_018,12,16,V_DEEP,8,38.25,8.854,False,34.62,131.07,325.12,left,right,False,
adjacent,identical_balls_trick_000_018,12,17,V_DEEP,16,38.25,4.488,False,34.62,60.22,281.65,left,right,False,
adjacent,identical_balls_trick_000_018,12,18,V_DEEP,17,38.25,11.247,False,34.62,288.80,468.48,left,right,False,
adjacent,identical_balls_trick_000_018,12,19,V_DEEP,25,35.97,3.211,False,34.62,68.92,325.27,left,left,False,
adjacent,identical_balls_trick_000_018,15,16,V_DEEP,8,46.6,5.237,False,38.27,131.07,257.51,right,right,False,
adjacent,identical_balls_trick_000_018,15,18,V_SHALLOW,17,50.94,6.131,False,38.27,288.80,425.37,right,right,False,
adjacent,identical_balls_trick_000_018,18,22,V_DEEP,14,46.78,10.843,False,32.77,297.23,460.03,left,right,False,
adjacent,identical_balls_trick_000_018,18,24,V_DEEP,26,28.77,3.95,False,32.77,71.53,299.99,left,left,False,
adjacent,identical_balls_trick_000_018,18,23,V_DEEP,26,46.78,3.842,False,32.77,52.43,238.40,left,right,False,
adjacent,identical_balls_trick_000_018,20,23,V_SHALLOW,24,65.59,4.809,False,278.10,52.43,205.43,right,right,False,
adjacent,identical_balls_trick_000_018,24,28,V_SHALLOW,5,59.53,4.388,False,60.58,238.21,234.31,right,right,False,
adjacent,identical_balls_trick_000_018,28,30,V_SHALLOW,17,99.55,3.34,False,332.27,93.82,246.52,right,right,False,
adjacent,identical_balls_trick_000_018,31,39,V_SHALLOW,23,66.15,7.404,False,468.66,62.73,342.00,left,right,False,
adjacent,identical_balls_trick_000_018,31,40,V_SHALLOW,27,94.49,5.004,False,468.66,93.97,377.31,left,left,False,
adjacent,identical_balls_trick_000_018,39,46,V_SHALLOW,3,51.9,3.355,False,174.10,89.36,237.68,left,left,False,
adjacent,identical_balls_trick_000_018,40,42,V_DEEP,11,19.22,9.886,False,62.99,40.05,227.04,right,left,False,
adjacent,identical_balls_trick_000_018,44,54,V_SHALLOW,17,51.67,8.242,False,32.20,39.11,309.22,left,right,False,
adjacent,identical_balls_trick_000_018,57,63,V_DEEP,10,42.64,7.894,False,64.07,37.24,285.27,right,right,False,
adjacent,identical_balls_trick_000_018,60,65,FLAT,20,101.56,5.334,False,436.11,98.22,472.95,left,left,False,
adjacent,identical_balls_trick_000_018,66,67,V_DEEP,3,38.32,6.048,False,32.65,228.42,210.32,left,left,False,
adjacent,identical_balls_trick_000_018,66,68,V_DEEP,5,10.86,19.129,False,32.65,36.23,238.91,left,right,False,FALSE
adjacent,identical_balls_trick_000_018,72,74,V_DEEP,6,30.89,9.946,False,53.17,101.84,317.03,right,left,False,
