kind,stem,src,tgt,vshape,gap,min_hand_dist,ratio,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,V_DEEP,10,41.88,4.792,77.85,96.15,248.50,right,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,2,6,V_DEEP,10,9.98,26.594,91.93,96.15,352.79,left,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,V_DEEP,8,22.33,10.255,106.16,66.22,310.07,left,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,V_DEEP,7,34.51,8.073,48.43,121.59,201.84,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,V_DEEP,7,40.62,8.78,48.43,119.40,320.21,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,V_DEEP,16,38.25,4.488,34.62,60.22,281.65,left,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,V_DEEP,8,38.25,8.854,34.62,131.07,325.12,left,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,14,18,V_DEEP,6,41.5,10.367,52.69,288.80,321.47,right,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,V_DEEP,8,46.6,5.237,38.27,131.07,257.51,right,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,16,19,V_SHALLOW,8,51.27,7.456,303.39,68.92,435.84,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,18,22,V_DEEP,14,46.78,10.843,32.77,297.23,460.03,left,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,39,48,V_SHALLOW,15,99.48,5.712,174.10,508.87,690.15,left,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,40,42,V_DEEP,11,19.22,9.886,62.99,40.05,227.04,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,41,44,V_DEEP,15,14.43,16.416,45.23,66.11,275.05,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,52,53,V_DEEP,11,29.65,9.219,40.48,69.51,298.87,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,V_DEEP,10,42.64,7.894,64.07,37.24,285.27,right,right,False
e6c_not_in_h7v2,identical_balls_trick_000_018,64,69,V_DEEP,13,38.12,4.665,59.03,75.57,248.49,right,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,65,69,V_DEEP,7,38.12,9.652,242.74,75.57,230.64,left,left,False
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,V_DEEP,6,30.89,9.946,53.17,101.84,317.03,right,left,False
adjacent_vshape,identical_balls_trick_000_018,1,4,V_DEEP,4,36.29,7.814,77.85,48.05,312.64,right,left,False
adjacent_vshape,identical_balls_trick_000_018,1,7,V_DEEP,22,45.58,3.698,77.85,66.22,248.30,right,right,False
adjacent_vshape,identical_balls_trick_000_018,2,7,V_DEEP,22,14.34,26.331,91.93,66.22,491.14,left,right,False
adjacent_vshape,identical_balls_trick_000_018,4,9,V_DEEP,18,35.31,11.539,55.99,31.19,254.05,right,left,False
adjacent_vshape,identical_balls_trick_000_018,12,18,V_DEEP,17,38.25,11.247,34.62,288.80,468.48,left,right,False
adjacent_vshape,identical_balls_trick_000_018,12,19,V_DEEP,25,35.97,3.211,34.62,68.92,325.27,left,left,False
adjacent_vshape,identical_balls_trick_000_018,15,18,V_SHALLOW,17,50.94,6.131,38.27,288.80,425.37,right,right,False
adjacent_vshape,identical_balls_trick_000_018,18,24,V_DEEP,26,28.77,3.95,32.77,71.53,299.99,left,left,False
adjacent_vshape,identical_balls_trick_000_018,18,23,V_DEEP,26,46.78,3.842,32.77,52.43,238.40,left,right,False
adjacent_vshape,identical_balls_trick_000_018,20,24,V_SHALLOW,24,51.79,6.091,278.10,71.53,327.07,right,left,False
adjacent_vshape,identical_balls_trick_000_018,20,23,V_SHALLOW,24,65.59,4.809,278.10,52.43,205.43,right,right,False
adjacent_vshape,identical_balls_trick_000_018,24,28,V_SHALLOW,5,59.53,4.388,60.58,238.21,234.31,right,right,False
adjacent_vshape,identical_balls_trick_000_018,23,27,V_DEEP,28,16.59,9.708,76.77,56.25,270.44,left,right,False
adjacent_vshape,identical_balls_trick_000_018,28,30,V_SHALLOW,17,99.55,3.34,332.27,93.82,246.52,right,right,False
adjacent_vshape,identical_balls_trick_000_018,28,31,V_DEEP,29,32.61,10.196,332.27,68.38,488.52,right,left,False
adjacent_vshape,identical_balls_trick_000_018,31,39,V_SHALLOW,23,66.15,7.404,468.66,62.73,342.00,left,right,False
adjacent_vshape,identical_balls_trick_000_018,31,40,V_SHALLOW,27,94.49,5.004,468.66,93.97,377.31,left,left,False
adjacent_vshape,identical_balls_trick_000_018,39,46,V_SHALLOW,3,51.9,3.355,174.10,89.36,237.68,left,left,False
adjacent_vshape,identical_balls_trick_000_018,44,54,V_SHALLOW,17,51.67,8.242,32.20,39.11,309.22,left,right,False
adjacent_vshape,identical_balls_trick_000_018,45,48,V_SHALLOW,21,82.32,6.904,81.89,508.87,620.79,left,right,False
adjacent_vshape,identical_balls_trick_000_018,47,53,V_DEEP,25,20.33,4.164,30.51,69.51,257.72,left,left,False
adjacent_vshape,identical_balls_trick_000_018,60,66,V_DEEP,21,48.31,11.215,436.11,56.26,489.28,left,left,False
adjacent_vshape,identical_balls_trick_000_018,63,67,V_SHALLOW,23,64.92,3.57,63.06,228.42,346.63,left,left,False
adjacent_vshape,identical_balls_trick_000_018,64,67,V_SHALLOW,4,59.71,6.364,59.03,228.42,465.97,right,left,False
adjacent_vshape,identical_balls_trick_000_018,66,67,V_DEEP,3,38.32,6.048,32.65,228.42,210.32,left,left,False
adjacent_vshape,identical_balls_trick_000_018,72,75,V_DEEP,20,7.19,42.643,53.17,71.05,466.09,right,left,False
