T_d,T_j,n_kept,n_rejected,n_kept_qa,n_kept_real,n_kept_true,n_kept_false,n_rej_real,n_rej_true,n_rej_false,n_rej_in_h7v3plus3,precision_kept_true,precision_rej_real,precision_rej_false,recall_kept_real,recall_kept_true
20,100,96,81,13,6,8,4,0,1,2,1,0.6153846153846154,0.0,0.024691358024691357,1.0,0.8888888888888888
20,150,112,65,14,6,9,4,0,0,2,1,0.6428571428571429,0.0,0.03076923076923077,1.0,1.0
20,200,128,49,14,6,9,4,0,0,2,0,0.6428571428571429,0.0,0.04081632653061224,1.0,1.0
20,250,141,36,15,6,9,5,0,0,1,0,0.6,0.0,0.027777777777777776,1.0,1.0
20,300,151,26,15,6,9,5,0,0,1,0,0.6,0.0,0.038461538461538464,1.0,1.0
20,400,165,12,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
25,100,101,76,13,6,8,4,0,1,2,1,0.6153846153846154,0.0,0.02631578947368421,1.0,0.8888888888888888
25,150,116,61,14,6,9,4,0,0,2,1,0.6428571428571429,0.0,0.03278688524590164,1.0,1.0
25,200,130,47,14,6,9,4,0,0,2,0,0.6428571428571429,0.0,0.0425531914893617,1.0,1.0
25,250,143,34,15,6,9,5,0,0,1,0,0.6,0.0,0.029411764705882353,1.0,1.0
25,300,152,25,15,6,9,5,0,0,1,0,0.6,0.0,0.04,1.0,1.0
25,400,166,11,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
30,100,103,74,13,6,8,4,0,1,2,1,0.6153846153846154,0.0,0.02702702702702703,1.0,0.8888888888888888
30,150,117,60,14,6,9,4,0,0,2,1,0.6428571428571429,0.0,0.03333333333333333,1.0,1.0
30,200,130,47,14,6,9,4,0,0,2,0,0.6428571428571429,0.0,0.0425531914893617,1.0,1.0
30,250,143,34,15,6,9,5,0,0,1,0,0.6,0.0,0.029411764705882353,1.0,1.0
30,300,152,25,15,6,9,5,0,0,1,0,0.6,0.0,0.04,1.0,1.0
30,400,166,11,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
40,100,126,51,14,6,8,5,0,1,1,1,0.5714285714285714,0.0,0.0196078431372549,1.0,0.8888888888888888
40,150,136,41,15,6,9,5,0,0,1,1,0.6,0.0,0.024390243902439025,1.0,1.0
40,200,145,32,15,6,9,5,0,0,1,0,0.6,0.0,0.03125,1.0,1.0
40,250,155,22,15,6,9,5,0,0,1,0,0.6,0.0,0.045454545454545456,1.0,1.0
40,300,158,19,15,6,9,5,0,0,1,0,0.6,0.0,0.05263157894736842,1.0,1.0
40,400,169,8,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
50,100,139,38,15,6,9,5,0,0,1,1,0.6,0.0,0.02631578947368421,1.0,1.0
50,150,144,33,15,6,9,5,0,0,1,1,0.6,0.0,0.030303030303030304,1.0,1.0
50,200,151,26,15,6,9,5,0,0,1,0,0.6,0.0,0.038461538461538464,1.0,1.0
50,250,159,18,15,6,9,5,0,0,1,0,0.6,0.0,0.05555555555555555,1.0,1.0
50,300,160,17,15,6,9,5,0,0,1,0,0.6,0.0,0.058823529411764705,1.0,1.0
50,400,169,8,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,100,169,8,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,150,170,7,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,200,171,6,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,250,173,4,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,300,173,4,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,400,175,2,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
