T_D_B,T_J_B,T_D_C,T_J_C,n_fires_h17,n_fires_h17_in_h7v3,n_qa_in_fires,n_real_qa,n_real_partial_qa,n_false_qa
20,60,40,60,99,1,9,3,4,4
20,60,40,80,95,0,8,3,3,4
20,60,40,100,95,0,8,3,3,4
20,60,40,150,86,0,6,2,2,4
20,60,50,60,99,0,8,2,3,4
20,60,50,80,96,0,8,2,3,4
20,60,50,100,96,0,8,2,3,4
20,60,50,150,86,0,6,2,2,4
20,60,60,60,102,1,8,2,3,4
20,60,60,80,100,1,8,2,3,4
20,60,60,100,99,1,8,2,3,4
20,60,60,150,88,1,6,2,2,4
20,60,80,60,87,0,7,2,2,4
20,60,80,80,85,0,7,2,2,4
20,60,80,100,85,0,7,2,2,4
20,60,80,150,81,0,6,2,2,4
20,80,40,60,99,1,9,3,4,4
20,80,40,80,92,0,7,3,3,3
20,80,40,100,92,0,7,3,3,3
20,80,40,150,83,0,5,2,2,3
20,80,50,60,99,0,8,2,3,4
20,80,50,80,93,0,7,2,3,3
20,80,50,100,93,0,7,2,3,3
20,80,50,150,83,0,5,2,2,3
20,80,60,60,102,1,8,2,3,4
20,80,60,80,97,1,7,2,3,3
20,80,60,100,96,1,7,2,3,3
20,80,60,150,85,1,5,2,2,3
20,80,80,60,86,0,7,2,2,4
20,80,80,80,82,0,6,2,2,3
20,80,80,100,82,0,6,2,2,3
20,80,80,150,78,0,5,2,2,3
20,100,40,60,98,1,9,3,4,4
20,100,40,80,91,0,7,3,3,3
20,100,40,100,91,0,7,3,3,3
20,100,40,150,82,0,5,2,2,3
20,100,50,60,99,0,8,2,3,4
20,100,50,80,93,0,7,2,3,3
20,100,50,100,92,0,7,2,3,3
20,100,50,150,82,0,5,2,2,3
20,100,60,60,102,1,8,2,3,4
20,100,60,80,97,1,7,2,3,3
20,100,60,100,95,1,7,2,3,3
20,100,60,150,84,1,5,2,2,3
20,100,80,60,86,0,7,2,2,4
20,100,80,80,82,0,6,2,2,3
20,100,80,100,81,0,6,2,2,3
20,100,80,150,77,0,5,2,2,3
20,150,40,60,96,1,9,3,4,4
20,150,40,80,89,0,7,3,3,3
20,150,40,100,89,0,7,3,3,3
20,150,40,150,78,0,5,2,2,3
20,150,50,60,98,0,8,2,3,4
20,150,50,80,92,0,7,2,3,3
20,150,50,100,91,0,7,2,3,3
20,150,50,150,78,0,5,2,2,3
20,150,60,60,101,1,8,2,3,4
20,150,60,80,96,1,7,2,3,3
20,150,60,100,94,1,7,2,3,3
20,150,60,150,80,1,5,2,2,3
20,150,80,60,82,0,7,2,2,4
20,150,80,80,78,0,6,2,2,3
20,150,80,100,77,0,6,2,2,3
20,150,80,150,73,0,5,2,2,3
20,200,40,60,94,1,9,3,4,4
20,200,40,80,87,0,7,3,3,3
20,200,40,100,87,0,7,3,3,3
20,200,40,150,76,0,5,2,2,3
20,200,50,60,96,0,8,2,3,4
20,200,50,80,90,0,7,2,3,3
20,200,50,100,89,0,7,2,3,3
20,200,50,150,76,0,5,2,2,3
20,200,60,60,98,1,8,2,3,4
20,200,60,80,93,1,7,2,3,3
20,200,60,100,91,1,7,2,3,3
20,200,60,150,77,1,5,2,2,3
20,200,80,60,77,0,7,2,2,4
20,200,80,80,73,0,6,2,2,3
20,200,80,100,72,0,6,2,2,3
20,200,80,150,68,0,5,2,2,3
25,60,40,60,99,1,9,3,4,4
25,60,40,80,94,0,8,3,3,4
25,60,40,100,94,0,8,3,3,4
25,60,40,150,85,0,6,2,2,4
25,60,50,60,99,0,8,2,3,4
25,60,50,80,95,0,8,2,3,4
25,60,50,100,95,0,8,2,3,4
25,60,50,150,85,0,6,2,2,4
25,60,60,60,102,1,8,2,3,4
25,60,60,80,99,1,8,2,3,4
25,60,60,100,98,1,8,2,3,4
25,60,60,150,87,1,6,2,2,4
25,60,80,60,85,0,7,2,2,4
25,60,80,80,83,0,7,2,2,4
25,60,80,100,83,0,7,2,2,4
25,60,80,150,79,0,6,2,2,4
25,80,40,60,99,1,9,3,4,4
25,80,40,80,92,0,7,3,3,3
25,80,40,100,92,0,7,3,3,3
25,80,40,150,83,0,5,2,2,3
25,80,50,60,99,0,8,2,3,4
25,80,50,80,93,0,7,2,3,3
25,80,50,100,93,0,7,2,3,3
25,80,50,150,83,0,5,2,2,3
25,80,60,60,102,1,8,2,3,4
25,80,60,80,97,1,7,2,3,3
25,80,60,100,96,1,7,2,3,3
25,80,60,150,85,1,5,2,2,3
25,80,80,60,85,0,7,2,2,4
25,80,80,80,81,0,6,2,2,3
25,80,80,100,81,0,6,2,2,3
25,80,80,150,77,0,5,2,2,3
25,100,40,60,98,1,9,3,4,4
25,100,40,80,91,0,7,3,3,3
25,100,40,100,91,0,7,3,3,3
25,100,40,150,82,0,5,2,2,3
25,100,50,60,99,0,8,2,3,4
25,100,50,80,93,0,7,2,3,3
25,100,50,100,92,0,7,2,3,3
25,100,50,150,82,0,5,2,2,3
25,100,60,60,102,1,8,2,3,4
25,100,60,80,97,1,7,2,3,3
25,100,60,100,95,1,7,2,3,3
25,100,60,150,84,1,5,2,2,3
25,100,80,60,85,0,7,2,2,4
25,100,80,80,81,0,6,2,2,3
25,100,80,100,80,0,6,2,2,3
25,100,80,150,76,0,5,2,2,3
25,150,40,60,96,1,9,3,4,4
25,150,40,80,89,0,7,3,3,3
25,150,40,100,89,0,7,3,3,3
25,150,40,150,78,0,5,2,2,3
25,150,50,60,98,0,8,2,3,4
25,150,50,80,92,0,7,2,3,3
25,150,50,100,91,0,7,2,3,3
25,150,50,150,78,0,5,2,2,3
25,150,60,60,101,1,8,2,3,4
25,150,60,80,96,1,7,2,3,3
25,150,60,100,94,1,7,2,3,3
25,150,60,150,80,1,5,2,2,3
25,150,80,60,81,0,7,2,2,4
25,150,80,80,77,0,6,2,2,3
25,150,80,100,76,0,6,2,2,3
25,150,80,150,72,0,5,2,2,3
25,200,40,60,94,1,9,3,4,4
25,200,40,80,87,0,7,3,3,3
25,200,40,100,87,0,7,3,3,3
25,200,40,150,76,0,5,2,2,3
25,200,50,60,96,0,8,2,3,4
25,200,50,80,90,0,7,2,3,3
25,200,50,100,89,0,7,2,3,3
25,200,50,150,76,0,5,2,2,3
25,200,60,60,98,1,8,2,3,4
25,200,60,80,93,1,7,2,3,3
25,200,60,100,91,1,7,2,3,3
25,200,60,150,77,1,5,2,2,3
25,200,80,60,77,0,7,2,2,4
25,200,80,80,73,0,6,2,2,3
25,200,80,100,72,0,6,2,2,3
25,200,80,150,68,0,5,2,2,3
30,60,40,60,99,1,9,3,4,4
30,60,40,80,93,0,7,3,3,3
30,60,40,100,93,0,7,3,3,3
30,60,40,150,83,0,5,2,2,3
30,60,50,60,99,0,8,2,3,4
30,60,50,80,94,0,7,2,3,3
30,60,50,100,94,0,7,2,3,3
30,60,50,150,83,0,5,2,2,3
30,60,60,60,101,1,8,2,3,4
30,60,60,80,97,1,7,2,3,3
30,60,60,100,96,1,7,2,3,3
30,60,60,150,85,1,5,2,2,3
30,60,80,60,84,0,7,2,2,4
30,60,80,80,81,0,6,2,2,3
30,60,80,100,81,0,6,2,2,3
30,60,80,150,77,0,5,2,2,3
30,80,40,60,99,1,9,3,4,4
30,80,40,80,92,0,7,3,3,3
30,80,40,100,92,0,7,3,3,3
30,80,40,150,82,0,5,2,2,3
30,80,50,60,99,0,8,2,3,4
30,80,50,80,93,0,7,2,3,3
30,80,50,100,93,0,7,2,3,3
30,80,50,150,82,0,5,2,2,3
30,80,60,60,101,1,8,2,3,4
30,80,60,80,96,1,7,2,3,3
30,80,60,100,95,1,7,2,3,3
30,80,60,150,84,1,5,2,2,3
30,80,80,60,84,0,7,2,2,4
30,80,80,80,80,0,6,2,2,3
30,80,80,100,80,0,6,2,2,3
30,80,80,150,76,0,5,2,2,3
30,100,40,60,98,1,9,3,4,4
30,100,40,80,91,0,7,3,3,3
30,100,40,100,91,0,7,3,3,3
30,100,40,150,81,0,5,2,2,3
30,100,50,60,99,0,8,2,3,4
30,100,50,80,93,0,7,2,3,3
30,100,50,100,92,0,7,2,3,3
30,100,50,150,81,0,5,2,2,3
30,100,60,60,101,1,8,2,3,4
30,100,60,80,96,1,7,2,3,3
30,100,60,100,94,1,7,2,3,3
30,100,60,150,83,1,5,2,2,3
30,100,80,60,84,0,7,2,2,4
30,100,80,80,80,0,6,2,2,3
30,100,80,100,79,0,6,2,2,3
30,100,80,150,75,0,5,2,2,3
30,150,40,60,96,1,9,3,4,4
30,150,40,80,89,0,7,3,3,3
30,150,40,100,89,0,7,3,3,3
30,150,40,150,78,0,5,2,2,3
30,150,50,60,98,0,8,2,3,4
30,150,50,80,92,0,7,2,3,3
30,150,50,100,91,0,7,2,3,3
30,150,50,150,78,0,5,2,2,3
30,150,60,60,101,1,8,2,3,4
30,150,60,80,96,1,7,2,3,3
30,150,60,100,94,1,7,2,3,3
