kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
v4d_rejected,identical_balls_trick_000_018,35,40,27,15.27,7.486,V_DEEP,19.16,93.97,120.32,left,left,False,UNCLEAR,False,False,False,False,False,False
v4d_rejected,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,11,8.29,4.244,V_DEEP,6.63,4.99,40.06,left,left,True,REAL,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,10,41.88,4.792,V_DEEP,77.85,96.15,248.5,right,right,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,2,6,10,9.98,26.594,V_DEEP,91.93,96.15,352.79,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,8,22.33,10.255,V_DEEP,106.16,66.22,310.07,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,4,7,6,58.18,2.59,V_SHALLOW,55.99,66.22,87.61,right,right,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,10,2.97,96.221,V_DEEP,55.99,71.47,306.0,right,left,False,FALSE,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,6,15,16,2.1,46.6,V_DEEP,47.25,15.21,101.09,right,right,False,REAL,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,7,10,8,57.35,2.239,V_SHALLOW,50.14,71.95,156.1,left,left,True,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,9,12,6,15.43,14.396,V_DEEP,13.75,119.4,161.76,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,9,13,6,15.43,8.169,V_DEEP,13.75,121.59,127.54,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,10,11,8,34.72,2.714,V_DEEP,87.39,29.53,155.76,right,right,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,7,34.51,8.073,V_DEEP,48.43,121.59,201.84,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,7,40.62,8.78,V_DEEP,48.43,119.4,320.21,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,16,38.25,4.488,V_DEEP,34.62,60.22,281.65,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,8,38.25,8.854,V_DEEP,34.62,131.07,325.12,left,right,False,,True,True,True,True,False,True
