kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,10,41.88,4.792,V_DEEP,77.85,96.15,248.5,right,right,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,2,6,10,9.98,26.594,V_DEEP,91.93,96.15,352.79,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,8,22.33,10.255,V_DEEP,106.16,66.22,310.07,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,10,2.97,96.221,V_DEEP,55.99,71.47,306.0,right,left,False,FALSE,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,7,34.51,8.073,V_DEEP,48.43,121.59,201.84,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,7,40.62,8.78,V_DEEP,48.43,119.4,320.21,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,16,38.25,4.488,V_DEEP,34.62,60.22,281.65,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,8,38.25,8.854,V_DEEP,34.62,131.07,325.12,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,14,19,14,54.08,3.241,V_SHALLOW,52.69,68.92,102.76,right,left,False,,False,False,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,14,18,6,41.5,10.367,V_DEEP,52.69,288.8,321.47,right,right,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,8,46.6,5.237,V_DEEP,38.27,131.07,257.51,right,right,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,16,19,8,51.27,7.456,V_SHALLOW,303.39,68.92,435.84,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,18,22,14,46.78,10.843,V_DEEP,32.77,297.23,460.03,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,25,26,2,32.17,3.003,V_DEEP,64.9,42.28,132.81,right,left,False,,False,False,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,39,48,15,99.48,5.712,V_SHALLOW,174.1,508.87,690.15,left,right,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,40,42,11,19.22,9.886,V_DEEP,62.99,40.05,227.04,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,41,44,15,14.43,16.416,V_DEEP,45.23,66.11,275.05,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,52,53,11,29.65,9.219,V_DEEP,40.48,69.51,298.87,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,10,42.64,7.894,V_DEEP,64.07,37.24,285.27,right,right,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,64,69,13,38.12,4.665,V_DEEP,59.03,75.57,248.49,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,65,69,7,38.12,9.652,V_DEEP,242.74,75.57,230.64,left,left,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,66,68,5,10.86,19.129,V_DEEP,32.65,36.23,238.91,left,right,False,FALSE,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,6,30.89,9.946,V_DEEP,53.17,101.84,317.03,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,1,4,4,36.29,7.814,V_DEEP,77.85,48.05,312.64,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,1,7,22,45.58,3.698,V_DEEP,77.85,66.22,248.3,right,right,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,1,8,26,62.68,4.524,V_SHALLOW,77.85,71.47,172.57,right,left,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,2,7,22,14.34,26.331,V_DEEP,91.93,66.22,491.14,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,4,9,18,35.31,11.539,V_DEEP,55.99,31.19,254.05,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,10,12,25,60.62,5.883,V_SHALLOW,87.39,119.4,166.19,right,left,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,12,18,17,38.25,11.247,V_DEEP,34.62,288.8,468.48,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,12,19,25,35.97,3.211,V_DEEP,34.62,68.92,325.27,left,left,False,,True,True,True,False,False,True
