kind,stem,src,tgt,vshape,in_hand_px,min_hand_dist,gap_dist,gap_vel,apex_src_dist,h20_keep,end_d,start_d,end_side,start_side,spatial_jump,h114_v1_default_fires,visual_qa_verdict,in_h7v3plus3,rule_a,rule_b,rule_c,fires_any
h20_kept,identical_balls_trick_000_018,1,6,V_DEEP,30.0,41.88,284.47,56.89,189.66,True,77.85,96.15,right,right,248.5006086511661,False,FALSE,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,12,17,V_DEEP,30.0,38.25,241.94,21.99,31.37,True,34.62,60.22,left,right,281.6484008475816,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,14,19,V_SHALLOW,30.0,54.08,62.31,6.92,138.31,True,52.69,68.92,right,left,102.75790577858231,False,,False,False,True,False,True
h20_kept,identical_balls_trick_000_018,18,22,V_DEEP,30.0,46.78,437.96,48.66,18.4,True,32.77,297.23,left,right,460.02983990171765,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,40,42,V_DEEP,30.0,19.22,225.0,37.5,37.47,True,62.99,40.05,right,left,227.0408643834849,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,1,6,V_DEEP,30.0,41.88,284.47,56.89,189.66,True,77.85,96.15,right,right,248.5006086511661,False,FALSE,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,1,7,V_DEEP,30.0,45.58,280.86,16.52,234.01,True,77.85,66.22,right,right,248.30077748569371,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,2,7,V_DEEP,30.0,14.34,520.25,30.6,433.53,True,91.93,66.22,left,right,491.13876705061676,True,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,4,9,V_DEEP,30.0,35.31,402.04,30.93,402.06,True,55.99,31.19,right,left,254.04705863284465,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,12,17,V_DEEP,30.0,38.25,241.94,21.99,31.37,True,34.62,60.22,left,right,281.6484008475816,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,12,18,V_DEEP,30.0,38.25,418.41,34.87,31.37,True,34.62,288.8,left,right,468.4836272485945,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,12,19,V_DEEP,30.0,35.97,317.74,15.89,211.86,True,34.62,68.92,left,left,325.27014449531026,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,14,19,V_SHALLOW,30.0,54.08,62.31,6.92,138.31,True,52.69,68.92,right,left,102.75790577858231,False,,False,False,True,False,True
h20_kept,identical_balls_trick_000_018,15,18,V_SHALLOW,30.0,50.94,395.41,32.95,34.64,True,38.27,288.8,right,right,425.3689017782095,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,18,22,V_DEEP,30.0,46.78,437.96,48.66,18.4,True,32.77,297.23,left,right,460.02983990171765,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,18,24,V_DEEP,30.0,28.77,310.2,14.77,258.53,True,32.77,71.53,left,left,299.9929647508421,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,18,23,V_DEEP,30.0,46.78,224.32,10.68,18.4,True,32.77,52.43,left,right,238.40199013431072,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,20,23,V_SHALLOW,30.0,65.59,140.34,7.39,93.56,True,278.1,52.43,right,right,205.43002945041897,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,24,28,V_SHALLOW,30.0,59.53,271.14,,45.15,True,60.58,238.21,right,right,234.3147737553055,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,28,30,V_SHALLOW,30.0,99.55,246.44,20.54,246.87,True,332.27,93.82,right,right,246.52067053291898,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,31,39,V_SHALLOW,30.0,66.15,332.15,18.45,332.18,True,468.66,62.73,left,right,341.9989906417854,True,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,31,40,V_SHALLOW,30.0,94.49,368.56,16.75,368.49,True,468.66,93.97,left,left,377.31178248233914,True,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,39,46,V_SHALLOW,30.0,51.9,207.37,,138.22,True,174.1,89.36,left,left,237.6773821801309,False,FALSE,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,40,42,V_DEEP,30.0,19.22,225.0,37.5,37.47,True,62.99,40.05,right,left,227.0408643834849,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,44,54,V_SHALLOW,30.0,51.67,479.26,39.94,479.32,True,32.2,39.11,left,right,309.2191011241059,False,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,60,65,FLAT,30.0,101.56,468.56,31.24,468.58,True,436.11,98.22,left,left,472.94943535223723,True,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,63,68,V_DEEP,30.0,34.83,240.64,12.03,275.75,True,63.06,36.23,left,right,181.86783882808973,False,,False,False,True,False,True
h20_kept,identical_balls_trick_000_018,66,67,V_DEEP,30.0,38.32,210.14,,15.63,True,32.65,228.42,left,left,210.31515399514134,False,UNCLEAR,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,70,73,V_DEEP,30.0,21.49,210.35,,35.07,True,33.94,51.71,left,right,199.10099673281397,False,PARTIAL,False,False,True,False,True
