T_D_B,T_J_B,n_fires,n_fires_in_h7v3,n_qa_in_fires,n_real_qa,n_real_partial_qa,n_false_qa
20,60,62,0,3,0,0,3
20,80,59,0,2,0,0,2
20,100,58,0,2,0,0,2
20,150,54,0,2,0,0,2
20,200,48,0,2,0,0,2
25,60,58,0,3,0,0,3
25,80,56,0,2,0,0,2
25,100,55,0,2,0,0,2
25,150,51,0,2,0,0,2
25,200,47,0,2,0,0,2
30,60,56,0,2,0,0,2
30,80,55,0,2,0,0,2
30,100,54,0,2,0,0,2
30,150,51,0,2,0,0,2
30,200,47,0,2,0,0,2
40,60,52,0,2,0,0,2
40,80,52,0,2,0,0,2
40,100,51,0,2,0,0,2
40,150,49,0,2,0,0,2
40,200,47,0,2,0,0,2
50,60,50,0,2,0,0,2
50,80,50,0,2,0,0,2
50,100,50,0,2,0,0,2
50,150,49,0,2,0,0,2
50,200,47,0,2,0,0,2
