stem,from,to,feat_n_pts,raw_n_pts,feat_last_frame,raw_last_frame,feat_last_xy,raw_last_xy,feat_end_dist,raw_end_dist,feat_end_slope,raw_end_slope,feat_start_dist,raw_start_dist,feat_start_slope,raw_start_slope,sj_raw,sj_orig,h7v2_orig,h7v2_raw,h7v2_raw_reason,verdict,visual_qa_verdict
identical_balls_trick_000_018,3,8,28,34,31,36,"(697.0,376.8)","(692.5,483.1)",106.16,37.29259897515461,-23.593,21.27000000000001,71.47,73.69030617006545,-7.109,-6.7205000000000155,123.42581561812749,227.0099612351846,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
identical_balls_trick_000_018,22,27,32,38,252,257,"(564.5,453.7)","(579.3,607.0)",46.69,18.76369278071164,-7.838,30.65100000000001,56.25,58.11458560215181,-1.049,-1.8935000000000173,37.5426629982478,190.35110979450573,True,False,no_catch_throw_signature,RAW_REJECTS,TRACKER_ARTIFACT
identical_balls_trick_000_018,40,41,33,39,582,587,"(628.5,344.8)","(623.4,343.2)",62.99,56.53711193565989,-1.392,-0.3079999999999927,50.85,53.12742526489981,-0.188,-0.42199999999999704,3.3026392476320883,2.2920078533897166,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
identical_balls_trick_000_018,43,45,2,6,622,626,"(624.8,321.6)","(623.9,320.2)",,51.946974362001555,,-0.3639999999999759,60.86,65.1950751433664,1.718,-0.24750000000000227,8.494079467487957,10.21070516663758,True,False,no_catch_throw_signature,RAW_REJECTS,TRACKER_ARTIFACT
identical_balls_trick_000_018,64,68,18,26,964,969,"(547.3,733.2)","(570.9,799.5)",59.03,177.8379912848578,7.98,13.249500000000012,36.23,66.0493485362359,2.482,-29.093000000000018,131.09362538659158,65.99212149946386,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,96,106,102,107,"(633.6,376.8)","(638.3,432.7)",28.96,8.187320546335368,-11.657,11.185000000000002,10.08,10.084797686273406,-1.015,-0.20349999999999113,39.03024493902131,94.80784988596673,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,62,76,72,77,"(554.6,475.4)","(559.5,509.8)",8.16,54.82637699690514,0.92,6.8855000000000075,38.17,38.50958772602235,11.375,-12.081500000000005,121.22313259852676,88.81770656800362,True,False,no_catch_throw_signature,RAW_REJECTS,TRACKER_ARTIFACT
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,21,26,22,27,"(661.9,429.1)","(661.9,479.3)",9.76,31.63829855940617,0.945,10.043000000000006,5.62,10.635327118278244,4.637,-12.554500000000019,48.960616672995414,47.84906686655447,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,132,148,256,261,"(631.3,472.9)","(626.1,516.2)",13.47,66.86413479083566,1.749,8.64549999999997,18.7,25.119045660190817,11.889,-16.29050000000001,119.7982981389969,78.07259442339546,True,False,no_catch_throw_signature,RAW_REJECTS,TRACKER_ARTIFACT
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,59,72,375,379,"(624.3,478.1)","(612.9,477.2)",17.73,39.46533416022481,2.148,-0.20849999999998658,21.67,28.15907889463351,11.313,-13.136500000000012,83.79324360591373,85.01105163447866,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,184,205,582,585,"(549.8,455.9)","(548.3,486.6)",6.74,26.963866246226054,-4.906,10.245499999999993,13.87,20.41056334130684,5.28,-2.0720000000000027,22.746606010567778,23.32147936988558,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,125,140,644,649,"(544.4,472.4)","(556.6,509.1)",10.58,51.49624712867632,-0.289,7.322500000000019,33.66,35.29446041734767,12.32,-13.982499999999987,112.27849860057803,80.83093467231467,True,False,no_catch_throw_signature,RAW_REJECTS,TRACKER_ARTIFACT
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,57,67,717,722,"(624.5,475.0)","(625.1,507.5)",11.72,52.484805223771225,0.944,6.489500000000021,50.19,50.741907115177945,14.349,-15.94550000000001,152.1362884948887,119.89321290214889,True,False,no_catch_throw_signature,RAW_REJECTS,UNCERTAIN
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,119,136,845,850,"(543.5,478.9)","(554.5,512.6)",14.07,52.38867214719706,1.094,6.736500000000007,12.37,12.36587563155418,10.982,-14.755499999999984,81.25130626026886,56.96055213917783,True,False,no_catch_throw_signature,RAW_REJECTS,REAL
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,55,66,818,820,"(550.7,487.4)","(553.8,503.1)",24.95,41.929658173364885,2.935,7.828499999999991,10.11,10.112446218531796,10.379,-13.873000000000019,62.52639513037672,50.12998304408253,True,False,no_catch_throw_signature,RAW_REJECTS,TRACKER_ARTIFACT
