stem,from,to,verdict,visual_qa_verdict,fires,sjr,red,res,fnp
identical_balls_trick_000_018,3,8,RAW_REJECTS,REAL,False,123.42581561812749,37.29259897515461,21.27000000000001,28
identical_balls_trick_000_018,5,6,STILL_RECLASSIFIED,,True,90.71735322417646,45.20012392106187,-12.662499999999994,2
identical_balls_trick_000_018,22,27,RAW_REJECTS,TRACKER_ARTIFACT,False,37.5426629982478,18.76369278071164,30.65100000000001,32
identical_balls_trick_000_018,29,34,STILL_RECLASSIFIED,,False,32.39011795285719,26.983719498309952,8.475499999999982,63
identical_balls_trick_000_018,35,37,STILL_RECLASSIFIED,,False,28.02886414038214,15.272481352527608,-2.6189999999999714,14
identical_balls_trick_000_018,37,40,STILL_RECLASSIFIED,,True,68.59136617680099,36.7834122408064,-2.029500000000013,2
identical_balls_trick_000_018,38,39,STILL_RECLASSIFIED,,True,85.5638949674452,28.976188004193535,-4.024000000000001,2
identical_balls_trick_000_018,40,41,RAW_REJECTS,REAL,False,3.3026392476320883,56.53711193565989,-0.3079999999999927,33
identical_balls_trick_000_018,43,45,RAW_REJECTS,TRACKER_ARTIFACT,True,8.494079467487957,51.946974362001555,-0.3639999999999759,2
identical_balls_trick_000_018,45,46,STILL_RECLASSIFIED,,False,23.072880921116024,86.1745623603382,3.6454999999999984,40
identical_balls_trick_000_018,62,66,STILL_RECLASSIFIED,,False,89.07650586995418,89.12443583478631,-8.430000000000007,50
identical_balls_trick_000_018,64,68,RAW_REJECTS,REAL,False,131.09362538659158,177.8379912848578,13.249500000000012,18
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,RAW_REJECTS,REAL,False,39.03024493902131,8.187320546335368,11.185000000000002,96
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,RAW_REJECTS,TRACKER_ARTIFACT,True,121.22313259852676,54.82637699690514,6.8855000000000075,62
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,RAW_REJECTS,REAL,False,48.960616672995414,31.63829855940617,10.043000000000006,21
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,RAW_REJECTS,,False,51.73823210160933,44.36010655562972,8.510499999999979,358
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,RAW_REJECTS,TRACKER_ARTIFACT,True,119.7982981389969,66.86413479083566,8.64549999999997,132
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,RAW_REJECTS,,True,92.7346413159613,58.58749201618201,6.8489999999999895,50
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,RAW_REJECTS,,True,102.05635075290509,36.651429761412736,7.359499999999997,56
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,RAW_REJECTS,REAL,False,83.79324360591373,39.46533416022481,-0.20849999999998658,59
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,RAW_REJECTS,,False,43.49822604428827,30.101564879321664,9.759500000000003,247
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,RAW_REJECTS,REAL,False,22.746606010567778,26.963866246226054,10.245499999999993,184
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,RAW_REJECTS,,True,95.41321879068961,56.727335947631154,0.550500000000028,260
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,RAW_REJECTS,,True,122.64542938079681,49.94166019564074,6.603000000000009,51
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,RAW_REJECTS,,True,105.80157829163042,60.60576743258566,2.4225000000000136,191
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,RAW_REJECTS,TRACKER_ARTIFACT,True,112.27849860057803,51.49624712867632,7.322500000000019,125
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,RAW_REJECTS,,True,93.22584867406673,75.85985166517902,6.875999999999976,122
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,RAW_REJECTS,UNCERTAIN,True,152.1362884948887,52.484805223771225,6.489500000000021,57
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,STILL_RECLASSIFIED,,False,69.96239990880817,46.60559879441797,-3.4805000000000064,53
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,RAW_REJECTS,,False,63.002919178399964,55.9754565542957,6.619,48
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,RAW_REJECTS,REAL,False,81.25130626026886,52.38867214719706,6.736500000000007,119
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,RAW_REJECTS,,True,113.12074894554047,56.668363827770335,8.914999999999992,57
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,RAW_REJECTS,TRACKER_ARTIFACT,False,62.52639513037672,41.929658173364885,7.828499999999991,55
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,RAW_REJECTS,,True,98.00104944846254,59.495480721227885,4.9894999999999925,55
