stem,src,cand,label,gap,sjr,red,res,fnp,fires
identical_balls_trick_000_018,1,6,correct,4,284.5,168.5,7.17,16,False
identical_balls_trick_000_018,2,6,wrong,4,386.7,152.1,5.71,13,False
identical_balls_trick_000_018,3,8,correct,6,123.4,37.3,21.27,28,False
identical_balls_trick_000_018,3,7,wrong,2,295.8,37.3,21.27,28,False
identical_balls_trick_000_018,4,7,correct,0,80.7,150.7,-1.73,12,False
identical_balls_trick_000_018,4,8,wrong,4,438.2,150.7,-1.73,12,False
identical_balls_trick_000_018,5,6,correct,0,90.7,45.2,-12.66,2,True
identical_balls_trick_000_018,6,15,wrong,10,97.1,97.7,-7.21,91,True
identical_balls_trick_000_018,7,10,correct,2,92.2,128.4,0.18,18,False
identical_balls_trick_000_018,9,12,correct,0,66.4,53.3,-19.07,44,False
identical_balls_trick_000_018,9,13,wrong,0,103.3,53.3,-19.07,44,True
identical_balls_trick_000_018,10,11,correct,2,44.9,83.6,-3.89,16,False
identical_balls_trick_000_018,11,13,correct,1,161.5,48.6,-3.03,11,True
identical_balls_trick_000_018,11,12,wrong,1,279.6,48.6,-3.03,11,True
identical_balls_trick_000_018,12,17,correct,10,241.9,66.2,-10.35,42,True
identical_balls_trick_000_018,12,16,wrong,2,280.4,66.2,-10.35,42,True
identical_balls_trick_000_018,14,19,correct,8,62.3,76.0,27.61,32,False
identical_balls_trick_000_018,14,18,wrong,0,458.1,76.0,27.61,32,False
identical_balls_trick_000_018,15,17,wrong,10,168.4,93.3,-6.16,12,True
identical_balls_trick_000_018,15,16,correct,2,228.4,93.3,-6.16,12,True
identical_balls_trick_000_018,16,19,wrong,2,520.3,382.3,-17.48,8,False
identical_balls_trick_000_018,17,22,correct,7,301.4,25.9,-19.85,36,True
identical_balls_trick_000_018,18,21,wrong,0,240.9,77.9,-5.63,38,True
identical_balls_trick_000_018,18,22,wrong,8,438.0,77.9,-5.63,38,True
identical_balls_trick_000_018,19,20,correct,1,86.8,580.7,-10.21,20,False
identical_balls_trick_000_018,20,22,wrong,6,184.1,171.5,16.32,7,False
identical_balls_trick_000_018,21,22,correct,2,120.7,178.6,-16.7,2,True
identical_balls_trick_000_018,22,27,wrong,5,37.5,18.8,30.65,32,False
identical_balls_trick_000_018,23,25,correct,2,93.6,44.0,1.45,4,True
identical_balls_trick_000_018,25,27,correct,6,22.8,77.7,8.18,6,False
identical_balls_trick_000_018,25,26,wrong,0,144.2,77.7,8.18,6,True
identical_balls_trick_000_018,28,29,correct,3,3.7,331.9,-0.0,40,False
identical_balls_trick_000_018,29,34,correct,5,32.4,27.0,8.48,63,False
identical_balls_trick_000_018,30,33,correct,5,42.3,63.5,5.88,48,False
identical_balls_trick_000_018,31,36,correct,5,26.5,450.3,2.2,100,False
identical_balls_trick_000_018,31,38,wrong,5,436.1,450.3,2.2,100,False
identical_balls_trick_000_018,31,37,wrong,5,447.6,450.3,2.2,100,False
identical_balls_trick_000_018,35,37,correct,5,28.0,15.3,-2.62,14,False
identical_balls_trick_000_018,35,38,wrong,5,107.0,15.3,-2.62,14,True
identical_balls_trick_000_018,35,36,wrong,5,452.9,15.3,-2.62,14,True
identical_balls_trick_000_018,36,41,wrong,9,182.7,88.5,9.55,40,True
identical_balls_trick_000_018,37,40,correct,10,68.6,36.8,-2.03,2,True
identical_balls_trick_000_018,37,39,wrong,6,121.5,36.8,-2.03,2,True
identical_balls_trick_000_018,38,39,correct,6,85.6,29.0,-4.02,2,True
identical_balls_trick_000_018,38,40,wrong,10,106.0,29.0,-4.02,2,True
identical_balls_trick_000_018,39,47,correct,3,40.0,146.9,6.31,127,False
identical_balls_trick_000_018,39,48,wrong,9,667.5,146.9,6.31,127,False
identical_balls_trick_000_018,40,41,correct,3,3.3,56.5,-0.31,33,False
identical_balls_trick_000_018,40,42,wrong,5,225.0,56.5,-0.31,33,True
identical_balls_trick_000_018,41,43,correct,7,10.9,45.0,-0.73,14,False
