stem,src,tgt,err,rank,n_succ,top1_err,delta_to_top1,review_label,in_chain_review,is_nic_correct,is_ic_correct
identical_balls_trick_000_018,1,6,40.126,1,1,40.126,0.000,correct,,True,False
identical_balls_trick_000_018,2,6,86.346,1,1,86.346,0.000,wrong,,False,False
identical_balls_trick_000_018,3,8,18.306,1,2,18.306,0.000,correct,True,False,True
identical_balls_trick_000_018,3,7,61.039,2,2,18.306,42.733,wrong,,False,False
identical_balls_trick_000_018,4,7,62.446,1,2,62.446,0.000,correct,,True,False
identical_balls_trick_000_018,4,8,97.187,2,2,62.446,34.741,wrong,,False,False
identical_balls_trick_000_018,5,6,2.495,1,1,2.495,0.000,correct,True,False,True
identical_balls_trick_000_018,6,15,34.997,1,1,34.997,0.000,wrong,,False,False
identical_balls_trick_000_018,7,10,65.083,1,1,65.083,0.000,correct,True,False,True
identical_balls_trick_000_018,9,12,26.224,1,2,26.224,0.000,correct,,True,False
identical_balls_trick_000_018,9,13,56.533,2,2,26.224,30.309,wrong,,False,False
identical_balls_trick_000_018,10,11,43.102,1,1,43.102,0.000,correct,,True,False
identical_balls_trick_000_018,11,13,45.813,1,2,45.813,0.000,correct,,True,False
identical_balls_trick_000_018,11,12,58.611,2,2,45.813,12.798,wrong,,False,False
identical_balls_trick_000_018,12,17,39.765,1,2,39.765,0.000,correct,,True,False
identical_balls_trick_000_018,12,16,43.329,2,2,39.765,3.564,wrong,,False,False
identical_balls_trick_000_018,14,19,33.944,1,2,33.944,0.000,correct,,True,False
identical_balls_trick_000_018,14,18,71.784,2,2,33.944,37.840,wrong,,False,False
identical_balls_trick_000_018,15,17,39.174,1,2,39.174,0.000,wrong,,False,False
identical_balls_trick_000_018,15,16,41.286,2,2,39.174,2.111,correct,,True,False
identical_balls_trick_000_018,16,19,112.330,1,1,112.330,0.000,wrong,,False,False
identical_balls_trick_000_018,17,22,35.105,1,1,35.105,0.000,correct,,True,False
identical_balls_trick_000_018,18,21,40.710,1,2,40.710,0.000,wrong,,False,False
identical_balls_trick_000_018,18,22,51.659,2,2,40.710,10.948,wrong,,False,False
identical_balls_trick_000_018,19,20,1.522,1,1,1.522,0.000,correct,True,False,True
identical_balls_trick_000_018,20,22,22.853,1,1,22.853,0.000,wrong,,False,False
identical_balls_trick_000_018,21,22,1.824,1,1,1.824,0.000,correct,True,False,True
identical_balls_trick_000_018,22,27,12.854,1,1,12.854,0.000,wrong,True,False,False
identical_balls_trick_000_018,23,25,8.103,1,1,8.103,0.000,correct,True,False,True
identical_balls_trick_000_018,25,27,9.111,1,2,9.111,0.000,correct,,True,False
identical_balls_trick_000_018,25,26,33.994,2,2,9.111,24.883,wrong,,False,False
identical_balls_trick_000_018,28,29,0.591,1,1,0.591,0.000,correct,True,False,True
identical_balls_trick_000_018,29,34,3.494,1,1,3.494,0.000,correct,True,False,True
identical_balls_trick_000_018,30,33,4.167,1,1,4.167,0.000,correct,True,False,True
identical_balls_trick_000_018,31,36,1.288,1,3,1.288,0.000,correct,True,False,True
identical_balls_trick_000_018,31,38,31.664,2,3,1.288,30.376,wrong,,False,False
identical_balls_trick_000_018,31,37,45.861,3,3,1.288,44.573,wrong,,False,False
identical_balls_trick_000_018,35,37,1.645,1,3,1.645,0.000,correct,True,False,True
identical_balls_trick_000_018,35,38,16.223,2,3,1.645,14.577,wrong,,False,False
identical_balls_trick_000_018,35,36,67.658,3,3,1.645,66.013,wrong,,False,False
identical_balls_trick_000_018,36,41,30.156,1,1,30.156,0.000,wrong,,False,False
identical_balls_trick_000_018,37,40,0.847,1,2,0.847,0.000,correct,True,False,True
identical_balls_trick_000_018,37,39,14.632,2,2,0.847,13.786,wrong,,False,False
identical_balls_trick_000_018,38,39,1.388,1,2,1.388,0.000,correct,True,False,True
identical_balls_trick_000_018,38,40,13.100,2,2,1.388,11.712,wrong,,False,False
identical_balls_trick_000_018,39,47,1.360,1,2,1.360,0.000,correct,True,False,True
identical_balls_trick_000_018,39,48,80.913,2,2,1.360,79.553,wrong,,False,False
identical_balls_trick_000_018,40,41,2.416,1,2,2.416,0.000,correct,True,False,True
identical_balls_trick_000_018,40,42,25.476,2,2,2.416,23.060,wrong,,False,False
identical_balls_trick_000_018,41,43,1.252,1,2,1.252,0.000,correct,True,False,True
identical_balls_trick_000_018,41,44,46.395,2,2,1.252,45.143,wrong,,False,False
identical_balls_trick_000_018,43,45,0.483,1,1,0.483,0.000,correct,True,False,True
identical_balls_trick_000_018,44,53,38.867,1,1,38.867,0.000,correct,,True,False
identical_balls_trick_000_018,45,46,1.031,1,2,1.031,0.000,correct,True,False,True
identical_balls_trick_000_018,45,47,26.274,2,2,1.031,25.243,wrong,,False,False
identical_balls_trick_000_018,47,52,6.054,1,1,6.054,0.000,correct,,True,False
identical_balls_trick_000_018,50,55,1.227,1,2,1.227,0.000,correct,True,False,True
identical_balls_trick_000_018,50,56,33.063,2,2,1.227,31.836,correct,,True,False
identical_balls_trick_000_018,51,52,4.269,1,1,4.269,0.000,correct,True,False,True
identical_balls_trick_000_018,52,53,48.153,1,1,48.153,0.000,wrong,,False,False
identical_balls_trick_000_018,53,58,22.345,1,1,22.345,0.000,correct,,True,False
identical_balls_trick_000_018,54,57,37.926,1,1,37.926,0.000,correct,,True,False
identical_balls_trick_000_018,56,57,46.143,1,1,46.143,0.000,wrong,,False,False
identical_balls_trick_000_018,57,63,52.092,1,1,52.092,0.000,wrong,,False,False
identical_balls_trick_000_018,59,61,24.648,1,2,24.648,0.000,correct,True,False,True
identical_balls_trick_000_018,59,62,25.425,2,2,24.648,0.777,wrong,,False,False
identical_balls_trick_000_018,60,64,2.653,1,1,2.653,0.000,correct,True,False,True
identical_balls_trick_000_018,62,66,15.555,1,2,15.555,0.000,correct,True,False,True
identical_balls_trick_000_018,62,65,24.021,2,2,15.555,8.466,wrong,,False,False
identical_balls_trick_000_018,63,65,54.876,1,2,54.876,0.000,correct,,True,False
