from_tid,to_tid,edge_type,cost,e6c_accepted,err
17,23,HAND_TRANSITION,1.000,,0.0
52,54,HAND_TRANSITION,1.000,,0.0
53,60,HAND_TRANSITION,1.000,,0.0
68,71,HAND_TRANSITION,1.000,,0.0
72,73,HAND_TRANSITION,1.000,,0.0
70,74,HAND_TRANSITION,1.000,,0.0
3,8,RECLASSIFIED_HAND_TRANSITION,1.000,,18.31
5,6,RECLASSIFIED_HAND_TRANSITION,1.000,,2.49
22,27,RECLASSIFIED_HAND_TRANSITION,1.000,,12.85
29,34,RECLASSIFIED_HAND_TRANSITION,1.000,,3.49
35,37,RECLASSIFIED_HAND_TRANSITION,1.000,,1.65
37,40,RECLASSIFIED_HAND_TRANSITION,1.000,,0.85
38,39,RECLASSIFIED_HAND_TRANSITION,1.000,,1.39
40,41,RECLASSIFIED_HAND_TRANSITION,1.000,,2.42
43,45,RECLASSIFIED_HAND_TRANSITION,1.000,,0.48
45,46,RECLASSIFIED_HAND_TRANSITION,1.000,,1.03
62,66,RECLASSIFIED_HAND_TRANSITION,1.000,,15.55
64,68,RECLASSIFIED_HAND_TRANSITION,1.000,,21.73
11,14,AMBIGUOUS_HAND_TRANSITION,1.500,,0.0
54,59,AMBIGUOUS_HAND_TRANSITION,1.500,,0.0
59,63,AMBIGUOUS_HAND_TRANSITION,1.500,,0.0
50,55,BALLISTIC,2.600,,0.0
19,20,BALLISTIC,2.700,,0.0
21,22,BALLISTIC,2.700,,0.0
60,64,BALLISTIC,2.800,,0.0
23,25,BALLISTIC,2.800,,0.0
28,29,BALLISTIC,2.900,,0.0
39,47,BALLISTIC,2.900,,0.0
51,52,BALLISTIC,2.900,,0.0
67,70,BALLISTIC,2.900,,0.0
31,36,BALLISTIC,3.100,,0.0
30,33,BALLISTIC,3.100,,0.0
41,43,BALLISTIC,3.300,,0.0
