from_tid,to_tid,edge_type,cost,e6c_accepted,err
10,12,HAND_TRANSITION,1.000,,0.0
1,9,RECLASSIFIED_HAND_TRANSITION,1.000,,16.58
2,8,RECLASSIFIED_HAND_TRANSITION,1.000,,11.56
3,6,RECLASSIFIED_HAND_TRANSITION,1.000,,9.57
4,18,RECLASSIFIED_HAND_TRANSITION,1.000,,7.72
9,13,RECLASSIFIED_HAND_TRANSITION,1.000,,14.91
11,14,RECLASSIFIED_HAND_TRANSITION,1.000,,9.86
13,16,RECLASSIFIED_HAND_TRANSITION,1.000,,8.54
14,17,RECLASSIFIED_HAND_TRANSITION,1.000,,14.41
15,25,RECLASSIFIED_HAND_TRANSITION,1.000,,10.73
16,21,RECLASSIFIED_HAND_TRANSITION,1.000,,10.17
17,24,RECLASSIFIED_HAND_TRANSITION,1.000,,11.0
18,30,RECLASSIFIED_HAND_TRANSITION,1.000,,14.75
19,22,RECLASSIFIED_HAND_TRANSITION,1.000,,10.31
21,29,RECLASSIFIED_HAND_TRANSITION,1.000,,17.22
22,26,RECLASSIFIED_HAND_TRANSITION,1.000,,8.96
25,33,RECLASSIFIED_HAND_TRANSITION,1.000,,12.82
26,31,RECLASSIFIED_HAND_TRANSITION,1.000,,14.35
28,32,RECLASSIFIED_HAND_TRANSITION,1.000,,16.37
29,34,RECLASSIFIED_HAND_TRANSITION,1.000,,9.05
30,37,RECLASSIFIED_HAND_TRANSITION,1.000,,8.76
31,35,RECLASSIFIED_HAND_TRANSITION,1.000,,12.83
33,36,RECLASSIFIED_HAND_TRANSITION,1.000,,11.41
35,38,RECLASSIFIED_HAND_TRANSITION,1.000,,12.86
27,28,BALLISTIC,2.800,,0.0
