from_tid,to_tid,edge_type,cost,e6c_accepted,err
17,23,HAND_TRANSITION,1.000,,0.0
52,54,HAND_TRANSITION,1.000,,0.0
53,60,HAND_TRANSITION,1.000,,0.0
68,71,HAND_TRANSITION,1.000,,0.0
72,73,HAND_TRANSITION,1.000,,0.0
70,74,HAND_TRANSITION,1.000,,0.0
3,8,RECLASSIFIED_HAND_TRANSITION,1.000,,18.31
5,6,RECLASSIFIED_HAND_TRANSITION,1.000,,2.49
22,27,RECLASSIFIED_HAND_TRANSITION,1.000,,12.85
29,34,RECLASSIFIED_HAND_TRANSITION,1.000,,3.49
35,37,RECLASSIFIED_HAND_TRANSITION,1.000,,1.65
37,40,RECLASSIFIED_HAND_TRANSITION,1.000,,0.85
38,39,RECLASSIFIED_HAND_TRANSITION,1.000,,1.39
40,41,RECLASSIFIED_HAND_TRANSITION,1.000,,2.42
43,45,RECLASSIFIED_HAND_TRANSITION,1.000,,0.48
45,46,RECLASSIFIED_HAND_TRANSITION,1.000,,1.03
62,66,RECLASSIFIED_HAND_TRANSITION,1.000,,15.55
64,68,RECLASSIFIED_HAND_TRANSITION,1.000,,21.73
11,14,AMBIGUOUS_HAND_TRANSITION,1.500,,0.0
54,59,AMBIGUOUS_HAND_TRANSITION,1.500,,0.0
59,63,AMBIGUOUS_HAND_TRANSITION,1.500,,0.0
50,55,BALLISTIC,2.600,,0.0
19,20,BALLISTIC,2.700,,0.0
21,22,BALLISTIC,2.700,,0.0
60,64,BALLISTIC,2.800,,0.0
23,25,BALLISTIC,2.800,,0.0
28,29,BALLISTIC,2.900,,0.0
39,47,BALLISTIC,2.900,,0.0
51,52,BALLISTIC,2.900,,0.0
67,70,BALLISTIC,2.900,,0.0
31,36,BALLISTIC,3.100,,0.0
30,33,BALLISTIC,3.100,,0.0
41,43,BALLISTIC,3.300,,0.0
25,26,BALLISTIC,3.900,False,33.994451
9,12,BALLISTIC,3.911,False,26.223845
66,69,BALLISTIC,4.625,False,28.49481
18,21,BALLISTIC,4.636,False,40.710255
15,16,BALLISTIC,4.864,False,41.285722
10,11,BALLISTIC,4.955,False,43.101847
44,53,BALLISTIC,5.043,False,38.866711
14,19,BALLISTIC,5.097,False,33.944457
56,57,BALLISTIC,5.307,False,46.142743
6,15,BALLISTIC,5.350,False,34.997267
12,17,BALLISTIC,5.588,False,39.764869
4,7,BALLISTIC,5.722,False,62.446306
63,65,BALLISTIC,5.844,False,54.875807
73,75,BALLISTIC,5.885,False,57.704643
7,10,BALLISTIC,6.054,False,65.083367
