from_tid,to_tid,edge_type,cost,e6c_accepted,err
5,6,BALLISTIC,2.625,True,2.494506
50,55,BALLISTIC,2.661,True,1.227322
19,20,BALLISTIC,2.776,True,1.522498
21,22,BALLISTIC,2.791,True,1.823535
43,45,BALLISTIC,2.924,True,0.483449
28,29,BALLISTIC,2.930,True,0.591355
60,64,BALLISTIC,2.933,True,2.653091
45,46,BALLISTIC,2.952,True,1.031029
39,47,BALLISTIC,2.968,True,1.360009
40,41,BALLISTIC,3.021,True,2.416125
51,52,BALLISTIC,3.113,True,4.2694
31,36,BALLISTIC,3.164,True,1.287889
38,39,BALLISTIC,3.169,True,1.38839
35,37,BALLISTIC,3.182,True,1.645284
23,25,BALLISTIC,3.205,True,8.103151
25,27,BALLISTIC,3.256,True,9.111114
67,70,BALLISTIC,3.256,True,7.111206
29,34,BALLISTIC,3.275,True,3.49442
30,33,BALLISTIC,3.308,True,4.166562
41,43,BALLISTIC,3.363,True,1.252136
37,40,BALLISTIC,3.542,True,0.846868
62,66,BALLISTIC,3.678,True,15.554923
64,68,BALLISTIC,3.686,True,21.728619
9,12,BALLISTIC,3.911,False,26.223845
3,8,BALLISTIC,4.115,True,18.306459
68,71,BALLISTIC,4.325,True,18.508894
59,61,BALLISTIC,4.332,False,24.647816
70,74,BALLISTIC,4.461,False,37.222367
66,69,BALLISTIC,4.625,False,28.49481
18,21,BALLISTIC,4.636,False,40.710255
53,58,BALLISTIC,4.717,False,22.344926
54,57,BALLISTIC,4.796,False,37.92608
15,16,BALLISTIC,4.864,False,41.285722
10,11,BALLISTIC,4.955,False,43.101847
11,13,BALLISTIC,4.991,False,45.812772
44,53,BALLISTIC,5.043,False,38.866711
14,19,BALLISTIC,5.097,False,33.944457
6,15,BALLISTIC,5.350,False,34.997267
12,17,BALLISTIC,5.588,False,39.764869
57,63,BALLISTIC,5.605,False,52.09238
4,7,BALLISTIC,5.722,False,62.446306
63,65,BALLISTIC,5.844,False,54.875807
73,75,BALLISTIC,5.885,False,57.704643
7,10,BALLISTIC,6.054,False,65.083367
