from_tid,to_tid,edge_type,cost,e6c_accepted,err
27,28,BALLISTIC,2.829,True,0.583007
25,33,BALLISTIC,3.241,True,12.815928
29,34,BALLISTIC,3.252,True,9.049449
33,36,BALLISTIC,3.270,True,11.405658
4,18,BALLISTIC,3.286,True,7.717262
28,32,BALLISTIC,3.318,True,16.368602
14,17,BALLISTIC,3.321,True,14.410545
18,30,BALLISTIC,3.338,True,14.754576
30,37,BALLISTIC,3.338,True,8.759993
35,38,BALLISTIC,3.343,True,12.855921
11,14,BALLISTIC,3.393,True,9.858386
17,24,BALLISTIC,3.450,True,10.999779
20,21,BALLISTIC,3.525,True,6.493667
13,16,BALLISTIC,3.627,True,8.54268
15,25,BALLISTIC,3.637,True,10.731772
22,26,BALLISTIC,3.648,True,8.961166
21,29,BALLISTIC,3.661,True,17.224194
2,8,BALLISTIC,3.678,True,11.564336
3,6,BALLISTIC,3.678,True,9.566688
19,22,BALLISTIC,3.716,True,10.312525
31,35,BALLISTIC,3.741,True,12.825241
9,13,BALLISTIC,3.846,True,14.914964
1,9,BALLISTIC,4.029,True,16.577872
26,31,BALLISTIC,4.117,True,14.346053
10,11,BALLISTIC,4.350,False,28.993002
