from_tid,to_tid,cost,err,gap
5,6,2.625,2.495,5
50,55,2.661,1.227,6
19,20,2.776,1.522,7
21,22,2.791,1.824,7
43,45,2.924,0.483,9
28,29,2.930,0.591,9
60,64,2.933,2.653,8
45,46,2.952,1.031,9
39,47,2.968,1.360,9
40,41,3.021,2.416,9
51,52,3.113,4.269,9
31,36,3.164,1.288,11
38,39,3.169,1.388,11
35,37,3.182,1.645,11
23,25,3.205,8.103,8
25,27,3.256,9.111,8
67,70,3.256,7.111,9
29,34,3.275,3.494,11
30,33,3.308,4.167,11
41,43,3.363,1.252,13
37,40,3.542,0.847,15
62,66,3.678,15.555,9
64,68,3.686,21.729,6
9,12,3.911,26.224,6
3,8,4.115,18.306,12
68,71,4.325,18.509,14
59,61,4.332,24.648,11
70,74,4.461,37.222,6
66,69,4.625,28.495,12
18,21,4.636,40.710,6
53,58,4.717,22.345,16
54,57,4.796,37.926,9
15,16,4.864,41.286,8
10,11,4.955,43.102,8
11,13,4.991,45.813,7
44,53,5.043,38.867,11
14,19,5.097,33.944,14
6,15,5.350,34.997,16
12,17,5.588,39.765,16
57,63,5.605,52.092,10
4,7,5.722,62.446,6
63,65,5.844,54.876,11
73,75,5.885,57.705,10
7,10,6.054,65.083,8
