from_tid,to_tid,cost,err,gap
27,28,2.829,0.583,8
25,33,3.241,12.816,6
29,34,3.252,9.049,8
33,36,3.270,11.406,7
4,18,3.286,7.717,9
28,32,3.318,16.369,5
14,17,3.321,14.411,6
18,30,3.338,14.755,6
30,37,3.338,8.760,9
35,38,3.343,12.856,7
11,14,3.393,9.858,9
17,24,3.450,11.000,9
20,21,3.525,6.494,12
13,16,3.627,8.543,12
15,25,3.637,10.732,11
22,26,3.648,8.961,12
21,29,3.661,17.224,8
2,8,3.678,11.564,11
3,6,3.678,9.567,12
19,22,3.716,10.313,12
31,35,3.741,12.825,11
9,13,3.846,14.915,11
1,9,4.029,16.578,12
26,31,4.117,14.346,14
10,11,4.350,28.993,9
