stem,from_tid,to_tid,edge_type,source,end_d,start_d,sj,h59_label,visual_verdict,drop_reason
identical_balls_trick_000_018,17,23,HAND_TRANSITION,h7v3plus3,20.95,52.43,159.57121325602563,not_in_review,,kept
identical_balls_trick_000_018,52,54,HAND_TRANSITION,h7v3plus3,40.48,39.11,49.99047909352344,not_in_review,,kept
identical_balls_trick_000_018,53,60,HAND_TRANSITION,h7v3plus3,56.97,46.85,82.5615800478649,not_in_review,,kept
identical_balls_trick_000_018,68,71,HAND_TRANSITION,h7v3plus3,12.16,18.59,38.91630121170312,correct,,kept
identical_balls_trick_000_018,72,73,HAND_TRANSITION,h7v3plus3,53.17,51.71,131.3427976708278,not_in_review,,kept
identical_balls_trick_000_018,70,74,HAND_TRANSITION,h7v3plus3,33.94,101.84,170.00324996893443,correct,,kept
identical_balls_trick_000_018,3,8,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,106.16,71.47,227.0099612351846,correct,,h114
identical_balls_trick_000_018,5,6,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,999.0,96.15,141.3141840014653,correct,,h112
identical_balls_trick_000_018,22,27,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,46.69,56.25,190.35110979450573,wrong,,h112
identical_balls_trick_000_018,29,34,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,47.51,999.0,72.57938619194847,correct,,h112
identical_balls_trick_000_018,35,37,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,19.16,999.0,40.77820986752612,correct,,kept
identical_balls_trick_000_018,37,40,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,999.0,93.97,76.70334086596228,correct,,h112
identical_balls_trick_000_018,38,39,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,999.0,62.73,101.68164042736527,correct,,h112
identical_balls_trick_000_018,40,41,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,62.99,50.85,2.2920078533897166,correct,,kept
identical_balls_trick_000_018,43,45,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,999.0,60.86,10.21070516663758,correct,,h112
identical_balls_trick_000_018,45,46,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,81.89,89.36,41.32271651283348,correct,,kept
identical_balls_trick_000_018,62,66,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,22.19,56.26,116.08178582361657,correct,,kept
identical_balls_trick_000_018,64,68,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,59.03,36.23,65.99212149946386,correct,,kept
identical_balls_trick_000_018,39,47,V_RECLASSIFIED_HAND_TRANSITION,h7v3plus3,174.1,109.2,71.59359328878526,correct,,kept
identical_balls_trick_000_018,51,52,V_RECLASSIFIED_HAND_TRANSITION,h7v3plus3,999.0,94.24,75.91660226854202,correct,,h112
identical_balls_trick_000_018,23,25,V_RECLASSIFIED_HAND_TRANSITION,h7v3plus3,76.77,83.23,100.89806390610272,correct,,kept
identical_balls_trick_000_018,30,33,V_RECLASSIFIED_HAND_TRANSITION,h7v3plus3,57.47,71.37,71.92847141431544,correct,,kept
