source,stem,from_tid,to_tid,hand,from_frame,to_frame,gap,skipped,hand_xy,window,classification_v2,classification_v3,n_in_reach,n_out_reach,concentration,n_clusters,cluster_n_max
v4d,identical_balls_trick_000_018,3,9,left,31,51,20,,"(727.6, 529.7)","(26, 56)",AMBIGUOUS,AMBIGUOUS,25,145,0.147,0,0
v4d,identical_balls_trick_000_018,11,14,right,97,126,29,,"(516.1, 541.8)","(92, 131)",AMBIGUOUS,AMBIGUOUS,35,249,0.123,0,0
v4d,identical_balls_trick_000_018,17,23,right,207,232,25,,"(582.4, 421.9)","(202, 237)",AMBIGUOUS,AMBIGUOUS,23,225,0.093,0,0
v4d,identical_balls_trick_000_018,52,54,right,780,797,17,,"(563.8, 382.9)","(775, 802)",CORROBORATED,AMBIGUOUS,17,124,0.121,1,17
v4d,identical_balls_trick_000_018,54,59,right,830,856,26,,"(594.3, 395.3)","(825, 861)",AMBIGUOUS,AMBIGUOUS,35,169,0.172,0,0
v4d,identical_balls_trick_000_018,53,60,right,839,860,21,,"(609.3, 384.8)","(834, 865)",AMBIGUOUS,AMBIGUOUS,32,146,0.18,0,0
v4d,identical_balls_trick_000_018,59,63,right,872,890,18,,"(608.3, 618.5)","(867, 895)",AMBIGUOUS,AMBIGUOUS,32,122,0.208,0,0
v4d,identical_balls_trick_000_018,68,71,right,1015,1029,14,,"(510.2, 589.2)","(1010, 1034)",AMBIGUOUS,AMBIGUOUS,20,131,0.132,0,0
v4d,identical_balls_trick_000_018,72,73,right,1050,1054,4,,"(496.6, 506.1)","(1045, 1059)",AMBIGUOUS,AMBIGUOUS,9,87,0.094,0,0
v4d,identical_balls_trick_000_018,70,74,left,1050,1056,6,,"(724.6, 494.4)","(1045, 1061)",AMBIGUOUS,AMBIGUOUS,16,90,0.151,0,0
h7v2_reclassified,identical_balls_trick_000_018,3,8,left,31,43,12,,"(727.4, 503.5)","(26, 48)",AMBIGUOUS,AMBIGUOUS,21,108,0.163,0,0
h7v2_reclassified,identical_balls_trick_000_018,5,6,right,22,27,5,,"(530.4, 504.7)","(17, 32)",AMBIGUOUS,AMBIGUOUS,18,82,0.18,0,0
h7v2_reclassified,identical_balls_trick_000_018,22,27,left,252,263,11,,"(679.7, 503.5)","(247, 268)",AMBIGUOUS,AMBIGUOUS,28,135,0.172,0,0
h7v2_reclassified,identical_balls_trick_000_018,29,34,left,460,471,11,,"(679.0, 464.5)","(455, 476)",AMBIGUOUS,AMBIGUOUS,35,77,0.312,0,0
h7v2_reclassified,identical_balls_trick_000_018,35,37,left,522,533,11,,"(711.6, 501.4)","(517, 538)",AMBIGUOUS,AMBIGUOUS,46,78,0.371,0,0
h7v2_reclassified,identical_balls_trick_000_018,37,40,left,534,549,15,,"(690.6, 498.3)","(529, 554)",AMBIGUOUS,AMBIGUOUS,46,117,0.282,0,0
h7v2_reclassified,identical_balls_trick_000_018,38,39,right,534,545,11,,"(588.2, 485.7)","(529, 550)",AMBIGUOUS,AMBIGUOUS,27,110,0.197,0,0
h7v2_reclassified,identical_balls_trick_000_018,40,41,right,582,591,9,,"(586.7, 390.6)","(577, 596)",AMBIGUOUS,AMBIGUOUS,18,106,0.145,0,0
h7v2_reclassified,identical_balls_trick_000_018,43,45,right,622,631,9,,"(589.8, 359.4)","(617, 636)",CORROBORATED,AMBIGUOUS,17,88,0.162,1,17
h7v2_reclassified,identical_balls_trick_000_018,45,46,left,670,679,9,,"(531.2, 371.6)","(665, 684)",CORROBORATED,AMBIGUOUS,22,90,0.196,1,22
h7v2_reclassified,identical_balls_trick_000_018,62,66,right,948,957,9,,"(561.3, 579.0)","(943, 962)",AMBIGUOUS,AMBIGUOUS,20,124,0.139,0,0
h7v2_reclassified,identical_balls_trick_000_018,64,68,right,964,970,6,,"(543.3, 654.3)","(959, 975)",AMBIGUOUS,AMBIGUOUS,17,89,0.16,0,0
h7v2_reclassified,identical_balls_trick_000_018,68,71,right,1015,1029,14,,"(510.2, 589.2)","(1010, 1034)",AMBIGUOUS,AMBIGUOUS,20,131,0.132,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,50,55,left_inferred,805,811,6,,"(546.4, 376.7)","(800, 816)",AMBIGUOUS,AMBIGUOUS,15,90,0.143,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,19,20,left_inferred,195,202,7,,"(705.7, 537.8)","(190, 207)",AMBIGUOUS,AMBIGUOUS,31,108,0.223,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,21,22,right_inferred,213,220,7,,"(576.4, 420.5)","(208, 225)",AMBIGUOUS,AMBIGUOUS,19,98,0.162,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,28,29,right_inferred,382,391,9,,"(650.8, 350.0)","(377, 396)",CORROBORATED,AMBIGUOUS,29,55,0.345,1,29
h7v2_kept_ballistic,identical_balls_trick_000_018,60,64,right_inferred,936,944,8,,"(530.4, 578.9)","(931, 949)",AMBIGUOUS,AMBIGUOUS,34,117,0.225,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,39,47,left_inferred,676,685,9,,"(536.1, 372.6)","(671, 690)",AMBIGUOUS,AMBIGUOUS,20,97,0.171,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,51,52,left_inferred,766,775,9,,"(638.4, 530.0)","(761, 780)",CORROBORATED,AMBIGUOUS,25,81,0.236,1,25
h7v2_kept_ballistic,identical_balls_trick_000_018,31,36,right_inferred,522,533,11,,"(596.4, 528.1)","(517, 538)",AMBIGUOUS,AMBIGUOUS,26,98,0.21,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,23,25,left_inferred,235,243,8,,"(546.9, 393.5)","(230, 248)",AMBIGUOUS,AMBIGUOUS,14,117,0.107,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,67,70,left_inferred,1020,1029,9,,"(746.6, 499.1)","(1015, 1034)",AMBIGUOUS,AMBIGUOUS,17,100,0.145,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,30,33,left_inferred,450,461,11,,"(657.9, 437.8)","(445, 466)",AMBIGUOUS,AMBIGUOUS,38,80,0.322,0,0
h7v2_kept_ballistic,identical_balls_trick_000_018,41,43,right_inferred,608,621,13,,"(603.4, 373.7)","(603, 626)",CORROBORATED,AMBIGUOUS,24,110,0.179,1,24
v4d,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,12,right,238,255,17,,"(558.9, 457.4)","(233, 260)",AMBIGUOUS,AMBIGUOUS,16,53,0.232,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,left,102,114,12,,"(642.2, 446.1)","(97, 119)",AMBIGUOUS,AMBIGUOUS,12,40,0.231,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,right,72,83,11,,"(561.7, 455.0)","(67, 88)",AMBIGUOUS,AMBIGUOUS,13,41,0.241,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,left,22,34,12,,"(637.8, 463.0)","(17, 39)",AMBIGUOUS,AMBIGUOUS,13,33,0.283,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,right,411,420,9,,"(556.0, 466.6)","(406, 425)",AMBIGUOUS,AMBIGUOUS,14,42,0.25,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,left,256,267,11,,"(621.9, 449.4)","(251, 272)",AMBIGUOUS,AMBIGUOUS,19,41,0.317,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,right,299,308,9,,"(555.5, 452.2)","(294, 313)",AMBIGUOUS,AMBIGUOUS,13,25,0.342,0,0
h7v2_reclassified,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,right,327,339,12,,"(556.9, 455.0)","(322, 344)",AMBIGUOUS,AMBIGUOUS,10,35,0.222,0,0
