kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y
v4d_rejected,identical_balls_trick_000_018,35,40,27,V_DEEP,15.27,7.486,left,False,527,725.7,507.5
v4d_rejected,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,11,V_DEEP,8.29,4.244,left,True,596,659.4,443.8
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,10,V_DEEP,41.88,4.792,right,False,26,561.3,492.9
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,8,V_DEEP,22.33,10.255,right,False,41,446.8,462.3
e6c_not_in_h7v2,identical_balls_trick_000_018,4,7,6,V_SHALLOW,58.18,2.59,right,False,33,477.9,422.8
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,10,V_DEEP,2.97,96.221,right,False,40,462.1,476.7
e6c_not_in_h7v2,identical_balls_trick_000_018,6,15,16,V_DEEP,2.1,46.6,right,False,140,527.2,527.2
e6c_not_in_h7v2,identical_balls_trick_000_018,7,10,8,V_SHALLOW,57.35,2.239,left,False,56,735.0,425.1
e6c_not_in_h7v2,identical_balls_trick_000_018,9,12,6,V_DEEP,15.43,14.396,left,False,99,726.2,492.5
e6c_not_in_h7v2,identical_balls_trick_000_018,9,13,6,V_DEEP,15.43,8.169,left,False,99,726.2,492.5
e6c_not_in_h7v2,identical_balls_trick_000_018,10,11,8,V_DEEP,34.72,2.714,right,False,89,442.2,464.6
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,7,V_DEEP,34.51,8.073,right,False,103,501.6,456.7
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,7,V_DEEP,40.62,8.78,right,False,103,518.1,444.5
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,16,V_DEEP,38.25,4.488,left,False,151,781.0,539.6
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,8,V_DEEP,38.25,8.854,left,False,151,781.0,539.6
e6c_not_in_h7v2,identical_balls_trick_000_018,14,19,14,V_SHALLOW,54.08,3.241,right,False,160,508.3,447.4
e6c_not_in_h7v2,identical_balls_trick_000_018,15,17,16,V_DEEP,27.68,3.371,right,False,162,592.1,419.8
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,8,V_DEEP,46.6,5.237,right,False,157,599.0,416.8
e6c_not_in_h7v2,identical_balls_trick_000_018,17,22,13,V_DEEP,22.44,17.243,right,False,208,606.1,505.6
e6c_not_in_h7v2,identical_balls_trick_000_018,18,21,6,V_DEEP,46.78,6.287,left,False,208,745.9,548.6
e6c_not_in_h7v2,identical_balls_trick_000_018,18,22,14,V_DEEP,46.78,10.843,left,False,208,745.9,548.6
e6c_not_in_h7v2,identical_balls_trick_000_018,35,38,11,V_DEEP,6.99,13.619,left,False,528,707.8,507.6
e6c_not_in_h7v2,identical_balls_trick_000_018,35,36,11,V_DEEP,15.27,29.629,left,False,527,725.7,507.5
e6c_not_in_h7v2,identical_balls_trick_000_018,40,42,11,V_DEEP,19.22,9.886,right,False,588,600.1,372.6
e6c_not_in_h7v2,identical_balls_trick_000_018,44,53,11,V_SHALLOW,55.9,3.487,left,False,780,446.9,615.3
e6c_not_in_h7v2,identical_balls_trick_000_018,54,57,9,V_DEEP,8.51,38.118,right,False,831,576.4,496.7
e6c_not_in_h7v2,identical_balls_trick_000_018,56,57,10,V_DEEP,7.11,65.473,left,False,830,684.7,521.5
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,10,V_DEEP,42.64,7.894,right,False,890,597.9,493.0
e6c_not_in_h7v2,identical_balls_trick_000_018,59,61,11,V_DEEP,18.94,5.303,right,False,879,624.5,648.6
e6c_not_in_h7v2,identical_balls_trick_000_018,59,62,13,V_DEEP,12.52,12.529,left,False,885,679.3,543.8
e6c_not_in_h7v2,identical_balls_trick_000_018,62,65,8,V_DEEP,32.58,11.688,right,False,948,580.7,556.4
e6c_not_in_h7v2,identical_balls_trick_000_018,63,65,11,V_DEEP,39.9,5.315,left,False,954,748.2,542.8
