kind,stem,from_tid,to_tid,gap,min_hand_dist,max_hand_dist,ratio,which_hand,classification,apex_frame,apex_x,apex_y
v4d_rejected,identical_balls_trick_000_018,35,40,27,15.27,114.33,7.486,left,V_DEEP,527,725.7,507.5
v4d_rejected,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,11,8.29,35.18,4.244,left,V_DEEP,596,659.4,443.8
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,10,41.88,200.68,4.792,right,V_DEEP,26,561.3,492.9
e6c_not_in_h7v2,identical_balls_trick_000_018,2,6,10,9.98,265.28,26.594,left,V_DEEP,25,732.5,482.9
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,8,22.33,229.04,10.255,right,V_DEEP,41,446.8,462.3
e6c_not_in_h7v2,identical_balls_trick_000_018,4,7,6,58.18,150.67,2.59,right,V_SHALLOW,33,477.9,422.8
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,10,2.97,285.32,96.221,right,V_DEEP,40,462.1,476.7
e6c_not_in_h7v2,identical_balls_trick_000_018,6,15,16,2.1,97.7,46.6,right,V_DEEP,140,527.2,527.2
e6c_not_in_h7v2,identical_balls_trick_000_018,7,10,8,57.35,128.38,2.239,left,V_SHALLOW,56,735.0,425.1
e6c_not_in_h7v2,identical_balls_trick_000_018,9,12,6,15.43,222.1,14.396,left,V_DEEP,99,726.2,492.5
e6c_not_in_h7v2,identical_balls_trick_000_018,9,13,6,15.43,126.04,8.169,left,V_DEEP,99,726.2,492.5
e6c_not_in_h7v2,identical_balls_trick_000_018,10,11,8,34.72,94.23,2.714,right,V_DEEP,89,442.2,464.6
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,7,34.51,278.6,8.073,right,V_DEEP,103,501.6,456.7
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,7,40.62,356.65,8.78,right,V_DEEP,103,518.1,444.5
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,16,38.25,171.68,4.488,left,V_DEEP,151,781.0,539.6
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,8,38.25,338.71,8.854,left,V_DEEP,151,781.0,539.6
e6c_not_in_h7v2,identical_balls_trick_000_018,14,19,14,54.08,175.26,3.241,right,V_SHALLOW,160,508.3,447.4
e6c_not_in_h7v2,identical_balls_trick_000_018,14,18,6,41.5,430.25,10.367,left,V_DEEP,166,514.5,510.5
e6c_not_in_h7v2,identical_balls_trick_000_018,15,17,16,27.68,93.33,3.371,right,V_DEEP,162,592.1,419.8
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,8,46.6,244.05,5.237,right,V_DEEP,157,599.0,416.8
e6c_not_in_h7v2,identical_balls_trick_000_018,16,19,8,51.27,382.25,7.456,right,V_SHALLOW,175,502.3,369.9
e6c_not_in_h7v2,identical_balls_trick_000_018,17,22,13,22.44,386.96,17.243,right,V_DEEP,208,606.1,505.6
e6c_not_in_h7v2,identical_balls_trick_000_018,18,21,6,46.78,294.11,6.287,left,V_DEEP,208,745.9,548.6
