chain_id,n_tracklets,first_frame,last_frame,n_hand_edges,n_air_edges,n_h3_confirmed,tids
0,1,2,17,0,0,0,1
1,1,2,17,0,0,0,2
2,2,3,98,1,0,1,"3,9"
3,1,21,33,0,0,0,4
4,2,21,122,0,1,0,"5,6"
5,1,39,56,0,0,0,7
6,1,43,46,0,0,0,8
7,1,64,79,0,0,0,10
8,2,87,160,1,0,1,"11,14"
9,1,104,149,0,0,0,12
10,1,104,133,0,0,0,13
11,1,138,149,0,0,0,15
12,1,157,166,0,0,0,16
13,4,165,312,1,2,0,"17,23,25,27"
14,1,166,206,0,0,0,18
15,2,174,208,0,1,0,"19,20"
16,2,212,252,0,1,0,"21,22"
17,1,232,328,0,0,0,24
18,1,257,334,0,0,0,26
19,3,333,472,0,2,0,"28,29,34"
20,2,399,472,0,1,0,"30,33"
21,2,411,578,0,1,0,"31,36"
22,1,425,428,0,0,0,32
23,7,507,716,0,6,0,"35,37,40,41,43,45,46"
24,3,533,766,0,2,0,"38,39,47"
25,1,593,598,0,0,0,42
26,1,623,780,0,0,0,44
27,1,691,700,0,0,0,48
28,1,697,697,0,0,0,49
29,2,733,811,0,1,0,"50,55"
30,5,765,945,3,1,2,"51,52,54,59,63"
31,5,791,1074,2,2,1,"53,60,64,68,71"
32,1,814,829,0,0,0,56
33,1,839,880,0,0,0,57
34,1,855,856,0,0,0,58
35,1,883,885,0,0,0,61
36,2,885,965,0,1,0,"62,66"
37,1,956,970,0,0,0,65
38,3,968,1078,1,1,0,"67,70,74"
39,1,977,1011,0,0,0,69
40,2,1029,1060,1,0,0,"72,73"
41,1,1070,1077,0,0,0,75
42,1,1077,1077,0,0,0,76
