from_tid,to_tid,edge_type,cost,h3_confirmed,metadata
17,23,HAND_TRANSITION,1.000,False,"tok_age=25,hand=right"
52,54,HAND_TRANSITION,1.000,False,"tok_age=17,hand=right"
53,60,HAND_TRANSITION,1.000,True,"tok_age=21,hand=right"
68,71,HAND_TRANSITION,1.000,False,"tok_age=14,hand=right"
72,73,HAND_TRANSITION,1.000,False,"tok_age=4,hand=right"
70,74,HAND_TRANSITION,1.000,False,"tok_age=6,hand=left"
3,9,AMBIGUOUS_HAND_TRANSITION,1.500,True,"tok_age=20,hand=left"
11,14,AMBIGUOUS_HAND_TRANSITION,1.500,True,"tok_age=29,hand=right"
54,59,AMBIGUOUS_HAND_TRANSITION,1.500,True,"tok_age=26,hand=right"
59,63,AMBIGUOUS_HAND_TRANSITION,1.500,True,"tok_age=18,hand=right"
5,6,BALLISTIC,2.624,,err=2.49
50,55,BALLISTIC,2.662,,err=1.23
19,20,BALLISTIC,2.776,,err=1.52
21,22,BALLISTIC,2.791,,err=1.82
43,45,BALLISTIC,2.924,,err=0.48
28,29,BALLISTIC,2.929,,err=0.59
60,64,BALLISTIC,2.933,,err=2.65
45,46,BALLISTIC,2.951,,err=1.03
39,47,BALLISTIC,2.968,,err=1.36
40,41,BALLISTIC,3.021,,err=2.42
51,52,BALLISTIC,3.113,,err=4.27
31,36,BALLISTIC,3.164,,err=1.29
38,39,BALLISTIC,3.170,,err=1.39
35,37,BALLISTIC,3.183,,err=1.65
23,25,BALLISTIC,3.205,,err=8.10
25,27,BALLISTIC,3.255,,err=9.11
67,70,BALLISTIC,3.256,,err=7.11
29,34,BALLISTIC,3.275,,err=3.49
30,33,BALLISTIC,3.308,,err=4.17
41,43,BALLISTIC,3.362,,err=1.25
37,40,BALLISTIC,3.542,,err=0.85
62,66,BALLISTIC,3.677,,err=15.55
64,68,BALLISTIC,3.687,,err=21.73
