from_tid,to_tid,edge_type,cost,h3_confirmed,metadata
10,12,HAND_TRANSITION,1.000,True,"tok_age=17,hand=right"
27,28,BALLISTIC,2.829,,err=0.58
25,33,BALLISTIC,3.241,,err=12.82
29,34,BALLISTIC,3.253,,err=9.05
33,36,BALLISTIC,3.271,,err=11.41
4,18,BALLISTIC,3.286,,err=7.72
28,32,BALLISTIC,3.319,,err=16.37
14,17,BALLISTIC,3.321,,err=14.41
18,30,BALLISTIC,3.337,,err=14.75
30,37,BALLISTIC,3.338,,err=8.76
35,38,BALLISTIC,3.343,,err=12.86
11,14,BALLISTIC,3.393,,err=9.86
17,24,BALLISTIC,3.450,,err=11.00
20,21,BALLISTIC,3.525,,err=6.49
13,16,BALLISTIC,3.627,,err=8.54
15,25,BALLISTIC,3.637,,err=10.73
22,26,BALLISTIC,3.648,,err=8.96
21,29,BALLISTIC,3.661,,err=17.22
2,8,BALLISTIC,3.678,,err=11.56
3,6,BALLISTIC,3.679,,err=9.57
19,22,BALLISTIC,3.716,,err=10.31
31,35,BALLISTIC,3.742,,err=12.83
9,13,BALLISTIC,3.845,,err=14.91
1,9,BALLISTIC,4.029,,err=16.58
26,31,BALLISTIC,4.118,,err=14.35
