chain_id,n_tracklets,first_frame,last_frame,n_hand_edges,n_air_edges,n_h3_confirmed,tids,h10_v3_quality,h10_v5_quality,h10_v3_rank,h10_v5_rank,h10_quality_delta
0,1,2,17,0,0,0,1,0.4286,0.4286,15,15,+0.0000
1,1,2,17,0,0,0,2,0.4286,0.4286,16,16,+0.0000
2,2,3,98,1,0,1,"3,9",0.9208,0.9208,5,4,+0.0000
3,1,21,33,0,0,0,4,0.4286,0.4286,17,17,+0.0000
4,2,21,122,0,1,0,"5,6",0.5490,0.5490,10,10,+0.0000
5,1,39,56,0,0,0,7,0.4286,0.4286,18,18,+0.0000
6,1,43,46,0,0,0,8,0.4286,0.4286,19,19,+0.0000
7,1,64,79,0,0,0,10,0.4286,0.4286,20,20,+0.0000
8,2,87,160,1,0,1,"11,14",0.8486,0.8486,7,5,+0.0000
9,1,104,149,0,0,0,12,0.4286,0.4286,21,21,+0.0000
10,1,104,133,0,0,0,13,0.4286,0.4286,22,22,+0.0000
11,1,138,149,0,0,0,15,0.4286,0.4286,23,23,+0.0000
12,1,157,166,0,0,0,16,0.4286,0.4286,24,24,+0.0000
13,4,165,312,1,2,0,"17,23,25,27",0.2973,0.2973,42,42,+0.0000
14,1,166,206,0,0,0,18,0.4286,0.4286,25,25,+0.0000
15,2,174,208,0,1,0,"19,20",0.4735,0.4735,13,13,+0.0000
16,2,212,252,0,1,0,"21,22",0.9164,0.4878,6,11,-0.4286
17,1,232,328,0,0,0,24,0.4286,0.4286,26,26,+0.0000
18,1,257,334,0,0,0,26,0.4286,0.4286,27,27,+0.0000
19,3,333,472,0,2,0,"28,29,34",0.9265,0.9265,3,2,+0.0000
20,2,399,472,0,1,0,"30,33",0.9228,0.9228,4,3,+0.0000
21,2,411,578,0,1,0,"31,36",0.9660,0.9660,0,0,+0.0000
22,1,425,428,0,0,0,32,0.4286,0.4286,28,28,+0.0000
23,7,507,716,0,6,0,"35,37,40,41,43,45,46",0.8367,0.8367,8,6,+0.0000
24,3,533,766,0,2,0,"38,39,47",0.9560,0.7418,2,8,-0.2143
25,1,593,598,0,0,0,42,0.4286,0.4286,29,29,+0.0000
26,1,623,780,0,0,0,44,0.4286,0.4286,30,30,+0.0000
27,1,691,700,0,0,0,48,0.4286,0.4286,31,31,+0.0000
28,1,697,697,0,0,0,49,0.4286,0.4286,32,32,+0.0000
29,2,733,811,0,1,0,"50,55",0.9638,0.7495,1,7,-0.2143
30,5,765,945,3,1,2,"51,52,54,59,63",0.4541,0.4541,14,14,+0.0000
31,5,791,1074,2,2,1,"53,60,64,68,71",0.4866,0.4866,12,12,+0.0000
32,1,814,829,0,0,0,56,0.4286,0.4286,33,33,+0.0000
33,1,839,880,0,0,0,57,0.4286,0.4286,34,34,+0.0000
34,1,855,856,0,0,0,58,0.4286,0.4286,35,35,+0.0000
35,1,883,885,0,0,0,61,0.4286,0.4286,36,36,+0.0000
36,2,885,965,0,1,0,"62,66",0.5150,0.9436,11,1,+0.4286
37,1,956,970,0,0,0,65,0.4286,0.4286,37,37,+0.0000
38,3,968,1078,1,1,0,"67,70,74",0.3532,0.3532,41,41,+0.0000
39,1,977,1011,0,0,0,69,0.4286,0.4286,38,38,+0.0000
40,2,1029,1060,1,0,0,"72,73",0.6625,0.6625,9,9,+0.0000
41,1,1070,1077,0,0,0,75,0.4286,0.4286,39,39,+0.0000
42,1,1077,1077,0,0,0,76,0.4286,0.4286,40,40,+0.0000
