chain_id,n_tracklets,first_frame,last_frame,n_hand_edges,n_air_edges,n_h3_confirmed,tids,h10_v3_quality,h10_v5_quality,h10_v3_rank,h10_v5_rank,h10_quality_delta
0,4,2,468,0,3,0,"1,9,13,16",0.5323,0.5323,7,7,+0.0000
1,2,2,426,0,1,0,"2,8",0.5580,0.5580,3,3,+0.0000
2,2,2,97,0,1,0,"3,6",0.5060,0.5060,9,9,+0.0000
3,4,2,899,0,3,0,"4,18,30,37",0.5581,0.5581,2,2,+0.0000
4,1,2,228,0,0,0,5,0.4286,0.4286,10,10,+0.0000
5,1,58,62,0,0,0,7,0.4286,0.4286,11,11,+0.0000
6,2,117,309,1,0,1,"10,12",0.9668,0.9668,0,0,+0.0000
7,4,247,653,0,3,0,"11,14,17,24",0.5419,0.5419,5,5,+0.0000
8,4,329,899,0,3,0,"15,25,33,36",0.5504,0.5504,4,4,+0.0000
9,6,445,899,0,5,0,"19,22,26,31,35,38",0.5074,0.5074,8,8,+0.0000
10,4,466,899,0,3,0,"20,21,29,34",0.5385,0.5385,6,6,+0.0000
11,1,578,578,0,0,0,23,0.4286,0.4286,12,12,+0.0000
12,3,670,878,0,2,0,"27,28,32",0.7556,0.6485,1,1,-0.1071
13,1,878,882,0,0,0,39,0.4286,0.4286,13,13,+0.0000
14,1,883,899,0,0,0,40,0.4286,0.4286,14,14,+0.0000
