chain_id,n_tracklets,first_frame,last_frame,tids,n_hand_edges,n_reclassified_edges,n_ballistic_edges,n_ambiguous_hand_edges,pct_reclassified,n_h3_confirmed,h3_score,h8_score,h9_score,h8v8_score,h10_v8_quality,h10_v8_rank
0,1,2,17,1,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,0
1,1,2,17,2,0,0,0,0,0.0,0,,1.000,0.867,0.500,0.9238,22
2,2,3,46,"3,8",1,1,0,0,100.0,0,0.0,1.000,0.744,0.500,0.5977,34
3,1,21,33,4,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,1
4,2,21,122,"5,6",1,1,0,0,100.0,0,0.0,1.000,0.921,0.500,0.6683,30
5,1,39,56,7,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,2
6,1,51,98,9,0,0,0,0,0.0,0,,1.000,0.936,0.500,0.9635,16
7,1,64,79,10,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,3
8,2,87,160,"11,14",1,0,0,1,0.0,1,1.0,1.000,0.589,0.500,0.8356,28
9,1,104,149,12,0,0,0,0,0.0,0,,1.000,0.933,0.500,0.9619,17
10,1,104,133,13,0,0,0,0,0.0,0,,1.000,0.828,0.500,0.9015,25
11,1,138,149,15,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,4
12,1,157,166,16,0,0,0,0,0.0,0,,1.000,0.889,0.500,0.9365,21
13,3,165,255,"17,23,25",1,0,1,0,0.0,0,0.0,0.000,0.511,0.500,0.2044,42
14,1,166,206,18,0,0,0,0,0.0,0,,1.000,0.950,0.500,0.9714,14
15,2,174,208,"19,20",0,0,1,0,0.0,0,,0.000,0.794,0.000,0.4538,37
16,3,212,312,"21,22,27",1,1,1,0,100.0,0,0.0,0.000,0.790,0.500,0.3160,41
17,1,232,328,24,0,0,0,0,0.0,0,,1.000,0.927,0.500,0.9583,18
18,1,257,334,26,0,0,0,0,0.0,0,,1.000,0.844,0.500,0.9109,23
19,3,333,472,"28,29,34",1,1,1,0,100.0,0,0.0,1.000,0.755,0.333,0.6022,33
20,2,399,472,"30,33",0,0,1,0,0.0,0,,1.000,0.767,0.250,0.8669,27
21,2,411,578,"31,36",0,0,1,0,0.0,0,,1.000,0.838,0.000,0.9076,24
22,1,425,428,32,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,5
23,7,507,716,"35,37,40,41,43,45,46",5,5,1,0,100.0,0,0.0,1.000,0.646,0.286,0.5584,36
24,3,533,766,"38,39,47",1,1,1,0,100.0,0,0.0,1.000,0.863,0.333,0.6451,32
25,1,593,598,42,0,0,0,0,0.0,0,,1.000,0.800,0.500,0.8857,26
26,1,623,780,44,0,0,0,0,0.0,0,,1.000,0.892,0.500,0.9381,20
27,1,691,700,48,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,6
28,1,697,697,49,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,7
29,2,733,811,"50,55",0,0,1,0,0.0,0,,0.500,0.795,0.500,0.6685,29
30,5,765,945,"51,52,54,59,63",3,0,1,2,0.0,2,0.6666666666666666,0.000,0.567,0.500,0.4267,38
31,5,791,1074,"53,60,64,68,71",3,1,1,0,33.3,1,0.3333333333333333,0.000,0.763,0.500,0.4053,39
32,1,814,829,56,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,8
33,1,839,880,57,0,0,0,0,0.0,0,,1.000,0.902,0.500,0.9443,19
34,1,855,856,58,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,9
35,1,883,885,61,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,10
36,2,885,965,"62,66",1,1,0,0,100.0,0,0.0,1.000,0.700,0.500,0.5800,35
37,1,956,970,65,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,11
38,3,968,1078,"67,70,74",1,0,1,0,0.0,0,0.0,0.000,0.809,0.167,0.3236,40
39,1,977,1011,69,0,0,0,0,0.0,0,,1.000,0.941,0.500,0.9664,15
40,2,1029,1060,"72,73",1,0,0,0,0.0,0,0.0,1.000,0.903,0.500,0.6613,31
41,1,1070,1077,75,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,12
42,1,1077,1077,76,0,0,0,0,0.0,0,,1.000,1.000,0.500,1.0000,13
