chain_id,n_tracklets,first_frame,last_frame,tids,n_hand_edges,n_reclassified_edges,n_ballistic_edges,n_ambiguous_hand_edges,pct_reclassified,n_h3_confirmed,h3_score,h8_score,h9_score,h8v8_score,h10_v8_quality,h10_v8_rank
0,7,2,899,"1,9,13,16,21,29,34",6,6,0,0,100.0,0,0.0,1.000,0.857,0.857,0.6715,7
1,2,2,426,"2,8",1,1,0,0,100.0,0,0.0,1.000,0.880,0.500,0.5889,11
2,2,2,97,"3,6",1,1,0,0,100.0,0,0.0,1.000,0.842,0.500,0.5776,12
3,4,2,899,"4,18,30,37",3,3,0,0,100.0,0,0.0,1.000,0.871,0.875,0.6800,5
4,1,2,228,5,0,0,0,0,0.0,0,,1.000,0.907,0.500,0.7962,3
5,1,58,62,7,0,0,0,0,0.0,0,,1.000,0.500,0.500,0.6333,8
6,2,117,309,"10,12",1,0,0,0,0.0,1,1.0,1.000,0.885,0.500,0.8406,0
7,4,247,653,"11,14,17,24",3,3,0,0,100.0,0,0.0,1.000,0.865,0.625,0.6156,9
8,4,329,899,"15,25,33,36",3,3,0,0,100.0,0,0.0,1.000,0.856,0.875,0.6756,6
9,6,445,899,"19,22,26,31,35,38",5,5,0,0,100.0,0,0.0,1.000,0.826,0.667,0.6145,10
10,1,466,470,20,0,0,0,0,0.0,0,,1.000,0.750,0.000,0.5667,13
11,1,578,578,23,0,0,0,0,0.0,0,,1.000,1.000,0.500,0.8333,1
12,3,670,878,"27,28,32",1,1,1,0,100.0,0,0.0,0.500,0.837,0.667,0.5176,14
13,1,878,882,39,0,0,0,0,0.0,0,,1.000,0.750,0.500,0.7333,4
14,1,883,899,40,0,0,0,0,0.0,0,,1.000,1.000,0.500,0.8333,2
