chain_id,n_tracklets,first_frame,last_frame,n_hand_edges,n_air_edges,tids
1,1,2,17,0,0,1
2,1,2,17,0,0,2
3,3,3,98,1,1,"3,8,9"
4,1,21,33,0,0,4
5,2,21,122,0,1,"5,6"
7,1,39,56,0,0,7
10,1,64,79,0,0,10
11,2,87,160,1,0,"11,14"
12,1,104,149,0,0,12
13,1,104,133,0,0,13
15,1,138,149,0,0,15
16,1,157,166,0,0,16
17,6,165,312,1,4,"17,21,22,23,25,27"
18,1,166,206,0,0,18
19,2,174,208,0,1,"19,20"
24,1,232,328,0,0,24
26,1,257,334,0,0,26
28,3,333,472,0,2,"28,29,34"
30,2,399,472,0,1,"30,33"
31,2,411,578,0,1,"31,36"
32,1,425,428,0,0,32
35,7,507,716,0,6,"35,37,40,41,43,45,46"
38,8,533,945,3,4,"38,39,47,51,52,54,59,63"
42,1,593,598,0,0,42
44,1,623,780,0,0,44
48,1,691,700,0,0,48
49,1,697,697,0,0,49
50,2,733,811,0,1,"50,55"
53,5,791,1074,2,3,"53,60,64,68,71"
56,1,814,829,0,0,56
57,1,839,880,0,0,57
58,1,855,856,0,0,58
61,1,883,885,0,0,61
62,2,885,965,0,1,"62,66"
65,1,956,970,0,0,65
69,1,977,1011,0,0,69
70,3,968,1078,1,1,"67,70,74"
72,2,1029,1060,1,0,"72,73"
75,1,1070,1077,0,0,75
76,1,1077,1077,0,0,76
