from_tid,to_tid,edge_type,metadata
3,9,AMBIGUOUS_HAND_TRANSITION,"tok_age=20,hand=left"
11,14,AMBIGUOUS_HAND_TRANSITION,"tok_age=29,hand=right"
17,23,HAND_TRANSITION,"tok_age=25,hand=right"
52,54,HAND_TRANSITION,"tok_age=17,hand=right"
54,59,AMBIGUOUS_HAND_TRANSITION,"tok_age=26,hand=right"
53,60,HAND_TRANSITION,"tok_age=21,hand=right"
59,63,AMBIGUOUS_HAND_TRANSITION,"tok_age=18,hand=right"
68,71,HAND_TRANSITION,"tok_age=14,hand=right"
72,73,HAND_TRANSITION,"tok_age=4,hand=right"
70,74,HAND_TRANSITION,"tok_age=6,hand=left"
3,8,BALLISTIC,err=18.31
5,6,BALLISTIC,err=2.49
19,20,BALLISTIC,err=1.52
21,22,BALLISTIC,err=1.82
22,27,BALLISTIC,err=12.85
23,25,BALLISTIC,err=8.10
25,27,BALLISTIC,err=9.11
28,29,BALLISTIC,err=0.59
29,34,BALLISTIC,err=3.49
30,33,BALLISTIC,err=4.17
31,36,BALLISTIC,err=1.29
35,37,BALLISTIC,err=1.65
37,40,BALLISTIC,err=0.85
38,39,BALLISTIC,err=1.39
39,47,BALLISTIC,err=1.36
40,41,BALLISTIC,err=2.42
41,43,BALLISTIC,err=1.25
43,45,BALLISTIC,err=0.48
45,46,BALLISTIC,err=1.03
47,52,BALLISTIC,err=6.05
50,55,BALLISTIC,err=1.23
51,52,BALLISTIC,err=4.27
60,64,BALLISTIC,err=2.65
62,66,BALLISTIC,err=15.55
64,68,BALLISTIC,err=21.73
67,70,BALLISTIC,err=7.11
68,71,BALLISTIC,err=18.51
